schedule,final_total,final_sensitive,final_latent_resistant,dose_AUC,population_AUC
Optimized,0.4722411445716014,0.014776489568414135,0.4574646550031872,13.0,34.22230668667277
Constant 1 uM,7.06359549855502,1.4741504043447116,5.589445094210308,13.0,67.74526595023073
Front-loaded,6.583018085573933,0.15246191623636712,6.4305561693375655,13.0,39.81773272151679
Back-loaded,1.547742137560174,0.07821737874627747,1.4695247588138967,13.0,38.490828907597916
Pulsed,1.3037931257941462,0.026332063313656742,1.2774610624804894,12.999999999999998,31.95757998020381
