model,free_parameters,SSE,RMSE,BIC,delta_BIC,boundary_status,eligible,selected
shared-growth delayed logistic,5,8.975978498810633,0.4622918707712753,-46.12259383500033,0.0,d[2],true,false
shared-growth delayed loss,4,10.110267016061348,0.49063290069007387,-44.86228485651947,1.2603089784808574,none,true,true
shared-K logistic,4,13.447315596097841,0.5658393595884545,-32.8827064025747,13.239887432425633,none,true,false
paper two-state shared growth,11,9.36480849271007,0.47219871958616233,-21.91548493671756,24.20710889828277,dS[2],true,false
paper three-state shared growth,14,8.169275336046388,0.44102897367423843,-16.438780627188585,29.683813207811745,none,true,false
paper two-state dose-specific,15,12.560318667640491,0.5468594027466225,5.36570666486535,51.48830049986568,none,true,false
dose-specific exponential,3,102.36590217219825,1.5611801257549813,48.630139050192824,94.75273288519315,none,true,false
