time,observed,predicted,fixed_day0_anchor,model,pooling_mode,density,mix,component
10.0,2137.61,1579.308824574736,false,dual_constant_kill,shared,20k,75-25,sensitive
11.0,2132.978333333333,1543.12380411594,false,dual_constant_kill,shared,20k,75-25,sensitive
12.0,1500.195,1484.7248323237393,false,dual_constant_kill,shared,20k,75-25,sensitive
13.0,1762.6516666666669,1415.6267070842953,false,dual_constant_kill,shared,20k,75-25,sensitive
14.0,1454.5266666666666,1343.6410368067532,false,dual_constant_kill,shared,20k,75-25,sensitive
0.0,16.75,16.75,true,dual_constant_kill,shared,20k,75-25,resistant
1.0,26.93166666666667,18.979724915493595,false,dual_constant_kill,shared,20k,75-25,resistant
2.0,42.105,26.549462600106175,false,dual_constant_kill,shared,20k,75-25,resistant
3.0,64.44166666666668,42.989281125930525,false,dual_constant_kill,shared,20k,75-25,resistant
4.0,128.0016666666667,75.11018133179043,false,dual_constant_kill,shared,20k,75-25,resistant
5.0,186.15166666666664,132.6591542331338,false,dual_constant_kill,shared,20k,75-25,resistant
6.0,262.3983333333333,226.02265006737747,false,dual_constant_kill,shared,20k,75-25,resistant
7.0,430.875,362.51721143369986,false,dual_constant_kill,shared,20k,75-25,resistant
8.0,525.69,542.9604760625384,false,dual_constant_kill,shared,20k,75-25,resistant
9.0,900.48,759.7844592812316,false,dual_constant_kill,shared,20k,75-25,resistant
10.0,1261.5033333333333,997.8099998541861,false,dual_constant_kill,shared,20k,75-25,resistant
11.0,1896.801666666667,1238.3794951278567,false,dual_constant_kill,shared,20k,75-25,resistant
12.0,1271.0700000000004,1465.1779592541982,false,dual_constant_kill,shared,20k,75-25,resistant
13.0,2274.6516666666666,1668.2393019382966,false,dual_constant_kill,shared,20k,75-25,resistant
14.0,1507.9783333333335,1844.2917559635737,false,dual_constant_kill,shared,20k,75-25,resistant
0.0,25.0,25.0,true,dual_constant_kill,shared,30k,25-75,sensitive
1.0,92.28666666666668,32.656522007268805,false,dual_constant_kill,shared,30k,25-75,sensitive
2.0,166.93666666666667,65.23179109364176,false,dual_constant_kill,shared,30k,25-75,sensitive
3.0,254.01833333333335,135.2878821916938,false,dual_constant_kill,shared,30k,25-75,sensitive
4.0,304.3333333333333,247.8684177883681,false,dual_constant_kill,shared,30k,25-75,sensitive
5.0,467.26833333333326,387.3422154870135,false,dual_constant_kill,shared,30k,25-75,sensitive
6.0,478.9883333333334,516.8508531958399,false,dual_constant_kill,shared,30k,25-75,sensitive
7.0,644.6283333333333,600.9372512594902,false,dual_constant_kill,shared,30k,25-75,sensitive
8.0,433.00666666666666,630.309107618465,false,dual_constant_kill,shared,30k,25-75,sensitive
9.0,360.13166666666666,619.9227972009196,false,dual_constant_kill,shared,30k,25-75,sensitive
10.0,420.3900000000001,589.4470861927769,false,dual_constant_kill,shared,30k,25-75,sensitive
11.0,492.47499999999997,551.91070202141,false,dual_constant_kill,shared,30k,25-75,sensitive
12.0,788.84,513.5864648270204,false,dual_constant_kill,shared,30k,25-75,sensitive
13.0,1077.7166666666667,476.94102276224055,false,dual_constant_kill,shared,30k,25-75,sensitive
14.0,921.545,442.75406995780645,false,dual_constant_kill,shared,30k,25-75,sensitive
0.0,75.0,75.0,true,dual_constant_kill,shared,30k,25-75,resistant
1.0,87.41333333333334,84.90190729149181,false,dual_constant_kill,shared,30k,25-75,resistant
2.0,146.07000000000002,118.71001371445607,false,dual_constant_kill,shared,30k,25-75,resistant
3.0,261.51,193.60664507934197,false,dual_constant_kill,shared,30k,25-75,resistant
4.0,490.7949999999999,345.4442269474632,false,dual_constant_kill,shared,30k,25-75,resistant
5.0,872.2133333333333,626.530138141855,false,dual_constant_kill,shared,30k,25-75,resistant
6.0,1398.1966666666667,1069.6563205034781,false,dual_constant_kill,shared,30k,25-75,resistant
7.0,2656.3349999999996,1618.1403209858804,false,dual_constant_kill,shared,30k,25-75,resistant
8.0,2187.6316666666667,2129.3069274800228,false,dual_constant_kill,shared,30k,25-75,resistant
9.0,3209.313333333333,2501.3651561922557,false,dual_constant_kill,shared,30k,25-75,resistant
10.0,3193.9033333333336,2736.516223998177,false,dual_constant_kill,shared,30k,25-75,resistant
11.0,3624.1133333333332,2883.0706738247472,false,dual_constant_kill,shared,30k,25-75,resistant
12.0,2743.473333333334,2982.1488454887167,false,dual_constant_kill,shared,30k,25-75,resistant
13.0,3918.6783333333333,3057.0371682229493,false,dual_constant_kill,shared,30k,25-75,resistant
14.0,3231.2383333333332,3118.9006328799956,false,dual_constant_kill,shared,30k,25-75,resistant
0.0,50.0,50.0,true,dual_constant_kill,shared,30k,50-50,sensitive
1.0,165.45833333333334,64.37085676409497,false,dual_constant_kill,shared,30k,50-50,sensitive
