time,observed,pred_theta_logistic_hill_kill,pred_pkpd_inhibition,pred_lotka_volterra_hill_competition
1.0,39.47,NaN,NaN,NaN
1.0,25.25,NaN,NaN,NaN
1.0,30.24,NaN,NaN,NaN
1.0,20.94,NaN,NaN,NaN
1.0,28.19,NaN,NaN,NaN
1.0,22.75,NaN,NaN,NaN
1.0,40.76,NaN,NaN,NaN
1.0,21.93,NaN,NaN,NaN
1.0,21.05,NaN,NaN,NaN
1.0,30.99,NaN,NaN,NaN
1.0,33.22,NaN,NaN,NaN
2.0,143.34,NaN,NaN,NaN
2.0,89.81,NaN,NaN,NaN
2.0,42.1,NaN,NaN,NaN
2.0,151.65,NaN,NaN,NaN
2.0,285.21,NaN,NaN,NaN
2.0,395.04,NaN,NaN,NaN
2.0,146.07,NaN,NaN,NaN
2.0,85.84,NaN,NaN,NaN
2.0,45.68,NaN,NaN,NaN
2.0,166.94,NaN,NaN,NaN
2.0,282.02,NaN,NaN,NaN
2.0,356.53,NaN,NaN,NaN
2.0,102.11,NaN,NaN,NaN
2.0,215.7,NaN,NaN,NaN
2.0,44.89,NaN,NaN,NaN
2.0,157.62,NaN,NaN,NaN
2.0,158.26,NaN,NaN,NaN
2.0,181.43,NaN,NaN,NaN
2.0,76.37,NaN,NaN,NaN
2.0,101.03,NaN,NaN,NaN
2.0,107.36,NaN,NaN,NaN
2.0,76.32,NaN,NaN,NaN
2.0,73.06,NaN,NaN,NaN
2.0,104.74,NaN,NaN,NaN
2.0,25.81,NaN,NaN,NaN
2.0,63.15,NaN,NaN,NaN
2.0,38.09,NaN,NaN,NaN
2.0,35.38,NaN,NaN,NaN
2.0,40.78,NaN,NaN,NaN
2.0,49.42,NaN,NaN,NaN
2.0,92.46,NaN,NaN,NaN
2.0,211.48,NaN,NaN,NaN
2.0,80.04,NaN,NaN,NaN
2.0,174.55,NaN,NaN,NaN
2.0,166.78,NaN,NaN,NaN
2.0,184.57,NaN,NaN,NaN
2.0,313.38,NaN,NaN,NaN
2.0,288.5,NaN,NaN,NaN
2.0,264.4,NaN,NaN,NaN
2.0,209.58,NaN,NaN,NaN
2.0,266.82,NaN,NaN,NaN
2.0,368.56,NaN,NaN,NaN
2.0,211.67,NaN,NaN,NaN
2.0,518.45,NaN,NaN,NaN
2.0,194.72,NaN,NaN,NaN
2.0,424.05,NaN,NaN,NaN
2.0,390.67,NaN,NaN,NaN
2.0,630.67,NaN,NaN,NaN
2.0,164.06,NaN,NaN,NaN
2.0,216.72,NaN,NaN,NaN
2.0,75.24,NaN,NaN,NaN
2.0,155.96,NaN,NaN,NaN
2.0,102.43,NaN,NaN,NaN
2.0,162.01,NaN,NaN,NaN
2.0,97.96,NaN,NaN,NaN
2.0,131.42,NaN,NaN,NaN
2.0,67.35,NaN,NaN,NaN
2.0,61.6,NaN,NaN,NaN
2.0,82.46,NaN,NaN,NaN
2.0,74.24,NaN,NaN,NaN
2.0,36.74,NaN,NaN,NaN
2.0,77.33,NaN,NaN,NaN
2.0,23.82,NaN,NaN,NaN
2.0,42.73,NaN,NaN,NaN
2.0,35.64,NaN,NaN,NaN
2.0,57.85,NaN,NaN,NaN
2.0,257.16,NaN,NaN,NaN
2.0,254.4,NaN,NaN,NaN
2.0,73.11,NaN,NaN,NaN
2.0,160.9,NaN,NaN,NaN
2.0,77.14,NaN,NaN,NaN
2.0,178.91,NaN,NaN,NaN
2.0,239.28,NaN,NaN,NaN
2.0,448.49,NaN,NaN,NaN
2.0,259.12,NaN,NaN,NaN
2.0,213.81,NaN,NaN,NaN
2.0,289.76,NaN,NaN,NaN
2.0,241.63,NaN,NaN,NaN
2.0,278.21,NaN,NaN,NaN
2.0,576.76,NaN,NaN,NaN
2.0,238.37,NaN,NaN,NaN
2.0,312.22,NaN,NaN,NaN
2.0,297.74,NaN,NaN,NaN
2.0,435.87,NaN,NaN,NaN
2.0,151.65,NaN,NaN,NaN
2.0,166.94,NaN,NaN,NaN
2.0,92.46,NaN,NaN,NaN
2.0,211.48,NaN,NaN,NaN
2.0,80.04,NaN,NaN,NaN
2.0,174.55,NaN,NaN,NaN
2.0,166.78,NaN,NaN,NaN
2.0,184.57,NaN,NaN,NaN
2.0,257.16,NaN,NaN,NaN
2.0,254.4,NaN,NaN,NaN
2.0,73.11,NaN,NaN,NaN
2.0,160.9,NaN,NaN,NaN
2.0,77.14,NaN,NaN,NaN
2.0,178.91,NaN,NaN,NaN
2.0,143.34,NaN,NaN,NaN
2.0,146.07,NaN,NaN,NaN
2.0,102.11,NaN,NaN,NaN
2.0,215.7,NaN,NaN,NaN
2.0,44.89,NaN,NaN,NaN
2.0,157.62,NaN,NaN,NaN
2.0,158.26,NaN,NaN,NaN
2.0,181.43,NaN,NaN,NaN
2.0,164.06,NaN,NaN,NaN
2.0,216.72,NaN,NaN,NaN
2.0,75.24,NaN,NaN,NaN
2.0,155.96,NaN,NaN,NaN
2.0,102.43,NaN,NaN,NaN
2.0,162.01,NaN,NaN,NaN
2.0,285.21,NaN,NaN,NaN
2.0,282.02,NaN,NaN,NaN
2.0,313.38,NaN,NaN,NaN
2.0,288.5,NaN,NaN,NaN
2.0,264.4,NaN,NaN,NaN
2.0,209.58,NaN,NaN,NaN
2.0,266.82,NaN,NaN,NaN
2.0,368.56,NaN,NaN,NaN
2.0,239.28,NaN,NaN,NaN
2.0,448.49,NaN,NaN,NaN
2.0,259.12,NaN,NaN,NaN
2.0,213.81,NaN,NaN,NaN
2.0,289.76,NaN,NaN,NaN
2.0,241.63,NaN,NaN,NaN
2.0,89.81,NaN,NaN,NaN
2.0,85.84,NaN,NaN,NaN
2.0,76.37,NaN,NaN,NaN
2.0,101.03,NaN,NaN,NaN
2.0,107.36,NaN,NaN,NaN
2.0,76.32,NaN,NaN,NaN
2.0,73.06,NaN,NaN,NaN
2.0,104.74,NaN,NaN,NaN
2.0,97.96,NaN,NaN,NaN
2.0,131.42,NaN,NaN,NaN
2.0,67.35,NaN,NaN,NaN
2.0,61.6,NaN,NaN,NaN
2.0,82.46,NaN,NaN,NaN
2.0,74.24,NaN,NaN,NaN
2.0,395.04,NaN,NaN,NaN
2.0,356.53,NaN,NaN,NaN
2.0,211.67,NaN,NaN,NaN
2.0,518.45,NaN,NaN,NaN
2.0,194.72,NaN,NaN,NaN
2.0,424.05,NaN,NaN,NaN
2.0,390.67,NaN,NaN,NaN
2.0,630.67,NaN,NaN,NaN
2.0,278.21,NaN,NaN,NaN
2.0,576.76,NaN,NaN,NaN
2.0,238.37,NaN,NaN,NaN
2.0,312.22,NaN,NaN,NaN
2.0,297.74,NaN,NaN,NaN
2.0,435.87,NaN,NaN,NaN
2.0,42.1,NaN,NaN,NaN
2.0,45.68,NaN,NaN,NaN
2.0,25.81,NaN,NaN,NaN
2.0,63.15,NaN,NaN,NaN
2.0,38.09,NaN,NaN,NaN
2.0,35.38,NaN,NaN,NaN
2.0,40.78,NaN,NaN,NaN
2.0,49.42,NaN,NaN,NaN
2.0,36.74,NaN,NaN,NaN
2.0,77.33,NaN,NaN,NaN
2.0,23.82,NaN,NaN,NaN
2.0,42.73,NaN,NaN,NaN
2.0,35.64,NaN,NaN,NaN
2.0,57.85,NaN,NaN,NaN
3.0,247.63,NaN,NaN,NaN
3.0,141.96,NaN,NaN,NaN
3.0,64.44,NaN,NaN,NaN
3.0,256.71,NaN,NaN,NaN
3.0,425.08,NaN,NaN,NaN
3.0,575.9,NaN,NaN,NaN
3.0,261.51,NaN,NaN,NaN
3.0,136.94,NaN,NaN,NaN
3.0,72.72,NaN,NaN,NaN
3.0,254.02,NaN,NaN,NaN
3.0,432.84,NaN,NaN,NaN
3.0,545.95,NaN,NaN,NaN
3.0,208.65,NaN,NaN,NaN
3.0,339.4,NaN,NaN,NaN
3.0,72.85,NaN,NaN,NaN
3.0,283.35,NaN,NaN,NaN
3.0,274.84,NaN,NaN,NaN
3.0,306.67,NaN,NaN,NaN
3.0,117.85,NaN,NaN,NaN
3.0,137.34,NaN,NaN,NaN
3.0,166.49,NaN,NaN,NaN
3.0,134.9,NaN,NaN,NaN
3.0,109.99,NaN,NaN,NaN
3.0,185.18,NaN,NaN,NaN
3.0,45.33,NaN,NaN,NaN
3.0,125.57,NaN,NaN,NaN
3.0,46.34,NaN,NaN,NaN
3.0,54.45,NaN,NaN,NaN
3.0,39.03,NaN,NaN,NaN
3.0,75.93,NaN,NaN,NaN
3.0,185.07,NaN,NaN,NaN
3.0,367.81,NaN,NaN,NaN
3.0,109.17,NaN,NaN,NaN
3.0,311.09,NaN,NaN,NaN
3.0,264.04,NaN,NaN,NaN
3.0,303.11,NaN,NaN,NaN
3.0,470.73,NaN,NaN,NaN
3.0,375.42,NaN,NaN,NaN
3.0,435.14,NaN,NaN,NaN
3.0,358.28,NaN,NaN,NaN
3.0,414.78,NaN,NaN,NaN
3.0,496.1,NaN,NaN,NaN
3.0,321.1,NaN,NaN,NaN
3.0,810.65,NaN,NaN,NaN
3.0,339.83,NaN,NaN,NaN
3.0,624.21,NaN,NaN,NaN
3.0,460.73,NaN,NaN,NaN
3.0,898.9,NaN,NaN,NaN
3.0,284.09,NaN,NaN,NaN
3.0,385.27,NaN,NaN,NaN
3.0,139.58,NaN,NaN,NaN
3.0,296.48,NaN,NaN,NaN
3.0,181.3,NaN,NaN,NaN
3.0,282.34,NaN,NaN,NaN
3.0,166.8,NaN,NaN,NaN
3.0,186.38,NaN,NaN,NaN
3.0,112.61,NaN,NaN,NaN
3.0,98.43,NaN,NaN,NaN
3.0,132.48,NaN,NaN,NaN
3.0,124.92,NaN,NaN,NaN
3.0,55.87,NaN,NaN,NaN
3.0,120.95,NaN,NaN,NaN
3.0,47.97,NaN,NaN,NaN
3.0,57.86,NaN,NaN,NaN
3.0,64.33,NaN,NaN,NaN
3.0,89.33,NaN,NaN,NaN
3.0,304.01,NaN,NaN,NaN
3.0,407.93,NaN,NaN,NaN
3.0,104.55,NaN,NaN,NaN
3.0,290.95,NaN,NaN,NaN
3.0,143.48,NaN,NaN,NaN
3.0,273.19,NaN,NaN,NaN
3.0,433.88,NaN,NaN,NaN
3.0,616.73,NaN,NaN,NaN
3.0,382.79,NaN,NaN,NaN
3.0,314.28,NaN,NaN,NaN
3.0,417.07,NaN,NaN,NaN
3.0,432.28,NaN,NaN,NaN
3.0,456.46,NaN,NaN,NaN
3.0,844.47,NaN,NaN,NaN
3.0,433.16,NaN,NaN,NaN
3.0,456.48,NaN,NaN,NaN
3.0,430.35,NaN,NaN,NaN
3.0,654.75,NaN,NaN,NaN
3.0,256.71,NaN,NaN,NaN
3.0,254.02,NaN,NaN,NaN
3.0,185.07,NaN,NaN,NaN
3.0,367.81,NaN,NaN,NaN
3.0,109.17,NaN,NaN,NaN
3.0,311.09,NaN,NaN,NaN
3.0,264.04,NaN,NaN,NaN
3.0,303.11,NaN,NaN,NaN
3.0,304.01,NaN,NaN,NaN
3.0,407.93,NaN,NaN,NaN
3.0,104.55,NaN,NaN,NaN
3.0,290.95,NaN,NaN,NaN
3.0,143.48,NaN,NaN,NaN
3.0,273.19,NaN,NaN,NaN
3.0,247.63,NaN,NaN,NaN
3.0,261.51,NaN,NaN,NaN
3.0,208.65,NaN,NaN,NaN
3.0,339.4,NaN,NaN,NaN
3.0,72.85,NaN,NaN,NaN
3.0,283.35,NaN,NaN,NaN
3.0,274.84,NaN,NaN,NaN
3.0,306.67,NaN,NaN,NaN
3.0,284.09,NaN,NaN,NaN
3.0,385.27,NaN,NaN,NaN
