time,observed,pred_logistic_growth,pred_gompertz_growth
1.0,102.98206,102.98206,102.98206
2.0,179.641667,211.202632904865,297.9867521758991
3.0,325.496759,420.4663505709,634.9360543229297
4.0,635.751968,792.2193670103321,1088.0256343966732
5.0,1166.639005,1362.9193316126757,1596.5329768786885
6.0,1930.467477,2068.711307114109,2097.7332432845574
7.0,2704.346759,2740.947140868816,2547.8360800817504
8.0,3217.967708,3239.5040506288483,2926.0231324495785
9.0,3820.144329,3544.8763224915506,3229.031289891079
10.0,3470.754051,3710.530151374601,3463.7066626994656
11.0,4200.269907,3794.5090989185423,3641.114499350186
12.0,3598.218056,3835.622628621211,3772.9364926816666
13.0,4096.906597,3855.406615414131,3869.68976194639
14.0,3743.41956,3864.8477615399743,3940.0846467163246
16.0,3468.14294,3871.464208582916,4027.622778056149
18.0,4087.085532,3872.951386420911,4072.737417218123
