time,observed,pred_logistic_growth,pred_gompertz_growth
12.0,3835.134144,NaN,NaN
12.0,4104.020023,NaN,NaN
12.0,3900.429167,NaN,NaN
12.0,4027.195255,NaN,NaN
12.0,3726.281636,NaN,NaN
12.0,3520.712192,NaN,NaN
12.0,3443.30081,NaN,NaN
12.0,3692.126157,NaN,NaN
12.0,4043.41794,NaN,NaN
12.0,3598.218056,NaN,NaN
12.0,3477.032292,NaN,NaN
12.0,3486.886227,NaN,NaN
13.0,4213.666204,NaN,NaN
13.0,4137.956713,NaN,NaN
13.0,4240.892593,NaN,NaN
13.0,4240.719792,NaN,NaN
13.0,4159.386227,NaN,NaN
13.0,4237.359838,NaN,NaN
13.0,4026.50081,NaN,NaN
13.0,4150.009491,NaN,NaN
13.0,4170.573688,NaN,NaN
13.0,4140.540625,NaN,NaN
13.0,3995.155208,NaN,NaN
13.0,4189.800347,NaN,NaN
13.0,4326.765509,NaN,NaN
13.0,4096.906597,NaN,NaN
13.0,4139.838657,NaN,NaN
13.0,4184.87662,NaN,NaN
14.0,4195.749691,NaN,NaN
14.0,4169.734799,NaN,NaN
14.0,4315.735764,NaN,NaN
14.0,4139.877199,NaN,NaN
14.0,4131.636111,NaN,NaN
14.0,4308.544213,NaN,NaN
14.0,4031.280903,NaN,NaN
14.0,4169.379282,NaN,NaN
14.0,3349.448611,NaN,NaN
14.0,3732.035031,NaN,NaN
14.0,3383.104861,NaN,NaN
14.0,3376.893866,NaN,NaN
14.0,3288.347106,NaN,NaN
14.0,3743.41956,NaN,NaN
14.0,3624.434028,NaN,NaN
14.0,3828.251505,NaN,NaN
16.0,3744.941358,NaN,NaN
16.0,3716.145641,NaN,NaN
16.0,3862.737269,NaN,NaN
16.0,3874.037731,NaN,NaN
16.0,3498.049074,NaN,NaN
16.0,3468.14294,NaN,NaN
16.0,3919.684954,NaN,NaN
16.0,3760.609028,NaN,NaN
18.0,4091.923804,NaN,NaN
18.0,3651.252238,NaN,NaN
18.0,4292.013194,NaN,NaN
18.0,3893.271875,NaN,NaN
18.0,4090.486343,NaN,NaN
18.0,4087.085532,NaN,NaN
18.0,3418.522454,NaN,NaN
18.0,3448.148727,NaN,NaN
