time,observed,pred_logistic_growth,pred_gompertz_growth
1.0,60.657176,60.657176,60.657176
2.0,115.033796,125.88488683278612,204.42184152352667
3.0,208.982176,256.5357499124907,485.51244708273623
4.0,429.734375,504.52832664956867,898.8191178194082
5.0,789.190509,930.5739613012965,1393.5004846760803
6.0,1673.607986,1550.7781041227986,1904.1143214377487
7.0,2302.454282,2266.041651425463,2378.0859348774547
8.0,3097.737731,2899.380424096276,2785.853358903775
9.0,3676.346991,3341.716332330052,3118.122556941057
10.0,3492.914352,3601.973017389545,3378.577615280798
11.0,4177.122801,3739.918963083936,3577.1719467286175
12.0,3477.032292,3809.0056776721503,3725.6422182506517
13.0,4139.838657,3842.6238943528697,3835.0909741336177
14.0,3624.434028,3858.753527500511,3914.970442691852
16.0,3919.684954,3870.090908529888,4014.588616659237
18.0,3418.522454,3872.643034265454,4066.0508391873477
