time,observed,prediction,best_model,cell_line,density
1.0,246.85030866666668,246.85030866666665,logistic_growth,A2780Naive,30k
2.0,386.6241513333334,502.25676391898264,logistic_growth,A2780Naive,30k
3.0,921.0547066666668,954.1324934197888,logistic_growth,A2780Naive,30k
4.0,1594.845139,1622.1722888728486,logistic_growth,A2780Naive,30k
5.0,2628.855208333333,2387.2451645076494,logistic_growth,A2780Naive,30k
6.0,3034.912075666667,3044.5002892583534,logistic_growth,A2780Naive,30k
7.0,3462.9069443333333,3483.5007796431323,logistic_growth,A2780Naive,30k
8.0,3405.0643130000003,3729.6686511148228,logistic_growth,A2780Naive,30k
9.0,3755.2344136666666,3854.343250480964,logistic_growth,A2780Naive,30k
10.0,3652.791281,3914.2349666722516,logistic_growth,A2780Naive,30k
11.0,4085.137268666667,3942.2747980642703,logistic_growth,A2780Naive,30k
12.0,4010.5481483333333,3955.2440200157084,logistic_growth,A2780Naive,30k
13.0,4137.956713,3961.208971525421,logistic_growth,A2780Naive,30k
14.0,4169.734799333333,3963.9453327393107,logistic_growth,A2780Naive,30k
