model,bic,ssr,params
theta_logistic_growth,176.34483179929956,582031.7766488137,"[0.599363592653106, 3813.2646956573535, 2.2585675539559915]"
logistic_growth,178.75380134683937,804621.867425849,"[0.7166382530014199, 3916.1220518081086]"
logistic_simple_death,181.52639006992115,804621.867468191,"[1.8503094712183217, 10111.150758611306, 1.133671209406383]"
gompertz_growth,194.6155130930119,2.1683665503130252e6,"[0.3115105284764949, 4250.81055288953]"
allee_growth,197.39640147457982,2.169491636074069e6,"[1.0000015478050088e-6, 3685.5522680734266, 0.00038761033176007957]"
