start_id,objective,converged,retcode,aic,bic,params
2,2.5470550784781286e6,true,Success,526.2038736478754,529.9462756696912,"[0.7473858776110882, 3873.3816294744283]"
3,2.5470550784781286e6,true,Success,526.2038736478754,529.9462756696912,"[0.7473858776110882, 3873.3816294744283]"
4,2.5470550784781286e6,true,Success,526.2038736478754,529.9462756696912,"[0.7473858776110882, 3873.3816294744283]"
5,2.5470550784781286e6,true,Success,526.2038736478754,529.9462756696912,"[0.7473858776110882, 3873.3816294744283]"
6,2.5470550784781286e6,true,Success,526.2038736478754,529.9462756696912,"[0.7473858776110882, 3873.3816294744283]"
