model,bic,ssr,params
theta_logistic_growth,172.98636970462402,471831.13860231073,"[0.623473037941555, 3804.485792695073, 1.9607538309888999]"
logistic_growth,175.3413094955733,650077.5714432052,"[0.7416811643151682, 3876.514849740736]"
logistic_simple_death,178.11389821853922,650077.5714727071,"[1.5432842620642955, 8066.220648960694, 0.8016030353265394]"
gompertz_growth,193.29522672466743,1.9966209851091562e6,"[0.3388592358822003, 4120.034710754368]"
allee_growth,199.83655220252214,2.5269228344499096e6,"[1.0000000975214282e-6, 3585.6916634200456, 0.0003876931713691951]"
