Model,Time,Prediction
logistic_growth,1.0,280.6765433333333
logistic_growth,1.013013013013013,283.3115425677253
logistic_growth,1.026026026026026,285.9694123661755
logistic_growth,1.039039039039039,288.65031607933554
logistic_growth,1.052052052052052,291.3544175595016
logistic_growth,1.065065065065065,294.08188114830847
logistic_growth,1.078078078078078,296.83287166409593
logistic_growth,1.0910910910910911,299.60755438894415
logistic_growth,1.1041041041041042,302.4060950553742
logistic_growth,1.117117117117117,305.2286598327072
logistic_growth,1.13013013013013,308.07541531307993
logistic_growth,1.1431431431431431,310.9465284971152
logistic_growth,1.1561561561561562,313.8421667792377
logistic_growth,1.1691691691691692,316.76249793263315
logistic_growth,1.182182182182182,319.70769009386055
logistic_growth,1.1951951951951951,322.6779117470896
logistic_growth,1.2082082082082082,325.6733317079668
logistic_growth,1.2212212212212212,328.6941191071161
logistic_growth,1.2342342342342343,331.7404433732792
logistic_growth,1.2472472472472473,334.8124742160535
logistic_growth,1.2602602602602602,337.91038160828276
logistic_growth,1.2732732732732732,341.03433576802564
logistic_growth,1.2862862862862863,344.18450714013835
logistic_growth,1.2992992992992993,347.36106637750396
logistic_growth,1.3123123123123124,350.56418432181533
logistic_growth,1.3253253253253254,353.7940319840202
logistic_growth,1.3383383383383383,357.05078052430565
logistic_growth,1.3513513513513513,360.3346012316836
logistic_growth,1.3643643643643644,363.64566550321535
logistic_growth,1.3773773773773774,366.984144822767
logistic_growth,1.3903903903903905,370.350210739416
logistic_growth,1.4034034034034033,373.7440348453725
logistic_growth,1.4164164164164164,377.16578875349427
logistic_growth,1.4294294294294294,380.6156440744256
logistic_growth,1.4424424424424425,384.0937723932576
logistic_growth,1.4554554554554555,387.60034524581505
logistic_growth,1.4684684684684686,391.1355340944432
logistic_growth,1.4814814814814814,394.6995103033929
logistic_growth,1.4944944944944945,398.2924451137989
logistic_growth,1.5075075075075075,401.9145096181899
logistic_growth,1.5205205205205206,405.56587473458495
logistic_growth,1.5335335335335336,409.2467111800865
logistic_growth,1.5465465465465464,412.95718944409947
logistic_growth,1.5595595595595595,416.69747976106555
logistic_growth,1.5725725725725725,420.46775208279985
