start_index,status,bic,scaled_sse,raw_sse,params,message,model
1,completed,-468.4459921872375,9.723983961748418,4.6767014141425654e7,"[0.3604787099936799, 0.9344837088428317]",,stage2_direct_context_scaling
2,completed,-468.4459921872375,9.723983961748418,4.6767014141425654e7,"[0.3604787099936799, 0.9344837088428317]",,stage2_direct_context_scaling
3,completed,-468.4459868251541,9.723984272110405,4.676638990419522e7,"[0.36050225976267347, 0.9344242252660795]",,stage2_direct_context_scaling
1,completed,-457.3805779251483,10.386023085684913,4.8803126248637594e7,"[0.4555132796244806, 0.641448801050685]",,stage2_plus_asymmetric_competition
2,completed,-457.3770771478993,10.386239511471542,4.8749946310090326e7,"[0.45378258321696663, 0.6398434608930897]",,stage2_plus_asymmetric_competition
3,completed,-457.37928749683596,10.38610286229036,4.871650822498338e7,"[0.45592573607310977, 0.6385294977777982]",,stage2_plus_asymmetric_competition
1,completed,-488.07778097513557,8.139591140228141,4.390909802327536e7,"[4.273702218736361e-6, 0.668656179454591, 0.1953356604716739, 1.6451082553847942e-7]",,stage2_plus_asymmetric_competition_death
2,completed,-330.22546920428107,20.82880832648022,9.644181092807046e7,"[3.999999999808211, 1.35147632223919, 7.163167789757098e-12, 0.08850988140615883]",,stage2_plus_asymmetric_competition_death
3,completed,-488.07828671167204,8.139566637356497,4.391807536860135e7,"[3.4241569175942926e-7, 0.6693737550320591, 0.19509368194301235, 3.157292989865006e-8]",,stage2_plus_asymmetric_competition_death
