stage,cell_line,density,time,sample_mean,sample_sd,n_wells,dose,mix,component
Stage 3,,30k,14.0,1684.9133333333332,179.07723929448252,3,,25-75,resistant
Stage 3,,30k,1.0,13.089999999999998,7.482105318692059,3,,25-75,sensitive
Stage 3,,30k,2.0,39.300000000000004,12.003028784436035,3,,25-75,sensitive
Stage 3,,30k,3.0,123.18,40.970427139584466,3,,25-75,sensitive
Stage 3,,30k,4.0,301.8933333333333,91.20291515808763,3,,25-75,sensitive
Stage 3,,30k,5.0,791.3033333333333,175.652225244468,3,,25-75,sensitive
Stage 3,,30k,6.0,726.0500000000001,208.1235832384211,3,,25-75,sensitive
Stage 3,,30k,7.0,1318.3600000000001,377.5006003968736,3,,25-75,sensitive
Stage 3,,30k,8.0,1513.7366666666667,279.9243927086979,3,,25-75,sensitive
Stage 3,,30k,9.0,1434.7733333333333,261.18032416959244,3,,25-75,sensitive
Stage 3,,30k,10.0,1640.7866666666666,110.35473770225423,3,,25-75,sensitive
Stage 3,,30k,11.0,2289.8999999999996,228.90753744689138,3,,25-75,sensitive
Stage 3,,30k,12.0,1768.0933333333332,350.48649907426284,3,,25-75,sensitive
Stage 3,,30k,13.0,2427.37,153.78402160172558,3,,25-75,sensitive
Stage 3,,30k,14.0,1996.9099999999999,16.651129090845455,3,,25-75,sensitive
Stage 3,,30k,1.0,34.93,8.002699544528706,3,,50-50,resistant
Stage 3,,30k,2.0,59.400000000000006,14.821710427612594,3,,50-50,resistant
Stage 3,,30k,3.0,105.14666666666666,26.158379791824515,3,,50-50,resistant
Stage 3,,30k,4.0,218.2733333333333,29.42787170920339,3,,50-50,resistant
Stage 3,,30k,5.0,401.89333333333326,58.288683578661605,3,,50-50,resistant
Stage 3,,30k,6.0,348.3999999999999,46.49549332999918,3,,50-50,resistant
Stage 3,,30k,7.0,538.1766666666666,36.41306679384935,3,,50-50,resistant
Stage 3,,30k,8.0,748.25,73.13963152764715,3,,50-50,resistant
Stage 3,,30k,9.0,815.8333333333334,70.60046340735548,3,,50-50,resistant
Stage 3,,30k,10.0,605.9166666666666,66.56576472431851,3,,50-50,resistant
Stage 3,,30k,11.0,905.2933333333334,146.65062234212763,3,,50-50,resistant
Stage 3,,30k,12.0,496.23333333333335,43.682440789559074,3,,50-50,resistant
Stage 3,,30k,13.0,678.3233333333334,126.85535082657465,3,,50-50,resistant
Stage 3,,30k,14.0,422.30999999999995,42.22037541282647,3,,50-50,resistant
Stage 3,,30k,1.0,28.156666666666666,6.701509780141585,3,,50-50,sensitive
Stage 3,,30k,2.0,81.69666666666666,23.828244445055816,3,,50-50,sensitive
Stage 3,,30k,3.0,213.96666666666667,54.825310152641485,3,,50-50,sensitive
Stage 3,,30k,4.0,573.2333333333333,48.874799573331565,3,,50-50,sensitive
Stage 3,,30k,5.0,1365.6900000000003,84.80557116133352,3,,50-50,sensitive
Stage 3,,30k,6.0,954.6966666666666,105.3417022519255,3,,50-50,sensitive
Stage 3,,30k,7.0,1763.55,63.024300868791876,3,,50-50,sensitive
Stage 3,,30k,8.0,2032.53,230.30381065019307,3,,50-50,sensitive
Stage 3,,30k,9.0,2097.9933333333333,158.71100854488105,3,,50-50,sensitive
Stage 3,,30k,10.0,2401.5633333333335,177.5150228384441,3,,50-50,sensitive
Stage 3,,30k,11.0,2836.11,88.42055643344496,3,,50-50,sensitive
Stage 3,,30k,12.0,2551.1033333333335,167.89309167840506,3,,50-50,sensitive
Stage 3,,30k,13.0,2884.48,296.100245862782,3,,50-50,sensitive
Stage 3,,30k,14.0,2778.18,568.4986561989396,3,,50-50,sensitive
Stage 3,,30k,1.0,25.46666666666667,2.674216396130525,3,,75-25,resistant
Stage 3,,30k,2.0,43.82333333333333,4.543141350798293,3,,75-25,resistant
Stage 3,,30k,3.0,67.24000000000001,5.361594911964164,3,,75-25,resistant
Stage 3,,30k,4.0,122.13666666666666,12.97417563212913,3,,75-25,resistant
Stage 3,,30k,5.0,212.86333333333332,19.766775997449194,3,,75-25,resistant
Stage 3,,30k,6.0,182.01333333333332,23.995800327001668,3,,75-25,resistant
Stage 3,,30k,7.0,271.34666666666664,36.585587781711716,3,,75-25,resistant
Stage 3,,30k,8.0,426.9066666666667,29.114474636052314,3,,75-25,resistant
Stage 3,,30k,9.0,422.00333333333333,24.148975823693494,3,,75-25,resistant
Stage 3,,30k,10.0,362.82666666666665,25.793257516904156,3,,75-25,resistant
Stage 3,,30k,11.0,419.54333333333335,35.288531186964036,3,,75-25,resistant
Stage 3,,30k,12.0,522.54,356.9192188717217,2,,75-25,resistant
Stage 3,,30k,13.0,327.18666666666667,54.9393759823802,3,,75-25,resistant
Stage 3,,30k,14.0,212.1833333333333,16.973265252547407,3,,75-25,resistant
Stage 3,,30k,1.0,30.916666666666668,6.906897518664466,3,,75-25,sensitive
Stage 3,,30k,2.0,96.72000000000001,8.820821957164759,3,,75-25,sensitive
Stage 3,,30k,3.0,246.36666666666665,47.75825408589946,3,,75-25,sensitive
Stage 3,,30k,4.0,733.8966666666665,78.48194972943351,3,,75-25,sensitive
Stage 3,,30k,5.0,1349.2333333333333,179.03096305760437,3,,75-25,sensitive
Stage 3,,30k,6.0,546.62,335.3916564257376,3,,75-25,sensitive
Stage 3,,30k,7.0,1863.1599999999999,212.5714070612508,3,,75-25,sensitive
Stage 3,,30k,8.0,2329.103333333334,208.99182384326264,3,,75-25,sensitive
Stage 3,,30k,9.0,2218.3366666666666,286.0826919499559,3,,75-25,sensitive
Stage 3,,30k,10.0,2795.08,491.49578146714543,2,,75-25,sensitive
Stage 3,,30k,11.0,2773.2100000000005,204.58459277276967,3,,75-25,sensitive
Stage 3,,30k,12.0,3011.9733333333334,303.52937491012847,3,,75-25,sensitive
Stage 3,,30k,13.0,3099.58,300.20652108173795,3,,75-25,sensitive
Stage 3,,30k,14.0,3017.2899999999995,73.93813292205863,3,,75-25,sensitive
Stage 4,,20k,1.0,88.58666666666666,26.76882714402457,6,,25-75,resistant
Stage 4,,20k,2.0,143.335,60.83692587565548,6,,25-75,resistant
Stage 4,,20k,3.0,247.62666666666667,95.90750307805259,6,,25-75,resistant
Stage 4,,20k,4.0,494.3083333333334,149.48721569641555,6,,25-75,resistant
Stage 4,,20k,5.0,903.3716666666666,325.00339668481416,6,,25-75,resistant
Stage 4,,20k,6.0,1360.0966666666666,374.8430681587518,6,,25-75,resistant
Stage 4,,20k,7.0,2438.3766666666666,527.229503752082,6,,25-75,resistant
Stage 4,,20k,8.0,1945.3233333333335,355.04525630779335,6,,25-75,resistant
Stage 4,,20k,9.0,3250.286666666667,538.4010778468657,6,,25-75,resistant
Stage 4,,20k,10.0,3135.64,433.01179540515994,6,,25-75,resistant
Stage 4,,20k,11.0,3987.5866666666666,218.807687128827,6,,25-75,resistant
Stage 4,,20k,12.0,2308.2483333333334,639.311110693899,6,,25-75,resistant
Stage 4,,20k,13.0,3826.773333333333,478.3175362734119,6,,25-75,resistant
Stage 4,,20k,14.0,2159.3716666666664,352.6484180266043,6,,25-75,resistant
Stage 4,,20k,1.0,99.62333333333333,26.381500083707646,6,,25-75,sensitive
Stage 4,,20k,2.0,151.64666666666665,53.005905960248114,6,,25-75,sensitive
Stage 4,,20k,3.0,256.715,94.2416302384461,6,,25-75,sensitive
Stage 4,,20k,4.0,308.39166666666665,113.65133372145998,6,,25-75,sensitive
Stage 4,,20k,5.0,458.41,135.49172343726383,6,,25-75,sensitive
Stage 4,,20k,6.0,443.1983333333333,106.12896219537186,6,,25-75,sensitive
Stage 4,,20k,7.0,684.745,269.59479941200647,6,,25-75,sensitive
Stage 4,,20k,8.0,381.4466666666667,131.3126512818421,6,,25-75,sensitive
Stage 4,,20k,9.0,434.4266666666667,165.9306120842886,6,,25-75,sensitive
Stage 4,,20k,10.0,381.8066666666667,146.42266213488497,6,,25-75,sensitive
Stage 4,,20k,11.0,827.9266666666667,618.464228639512,6,,25-75,sensitive
Stage 4,,20k,12.0,564.2466666666667,286.5470521688657,6,,25-75,sensitive
Stage 4,,20k,13.0,1105.2716666666665,957.5677935147289,6,,25-75,sensitive
Stage 4,,20k,14.0,404.80333333333334,199.26329011302275,6,,25-75,sensitive
Stage 4,,20k,1.0,51.281666666666666,13.104377004141275,6,,50-50,resistant
Stage 4,,20k,2.0,89.81333333333333,16.12434143358006,6,,50-50,resistant
Stage 4,,20k,3.0,141.95833333333334,28.78975610641165,6,,50-50,resistant
Stage 4,,20k,4.0,269.67333333333335,61.531126648767504,6,,50-50,resistant
Stage 4,,20k,5.0,503.14333333333326,103.43873658676748,6,,50-50,resistant
Stage 4,,20k,6.0,640.2366666666667,96.87742537178963,6,,50-50,resistant
Stage 4,,20k,7.0,1228.7583333333334,248.90509736979405,6,,50-50,resistant
Stage 4,,20k,8.0,1159.7433333333333,140.8420272030571,6,,50-50,resistant
Stage 4,,20k,9.0,2141.5383333333334,360.7800754707314,6,,50-50,resistant
Stage 4,,20k,10.0,2331.901666666666,356.75881933971397,6,,50-50,resistant
Stage 4,,20k,11.0,3319.126666666667,358.9861583775433,6,,50-50,resistant
Stage 4,,20k,12.0,1939.1216666666667,607.992433124514,6,,50-50,resistant
Stage 4,,20k,13.0,3037.8416666666667,382.1610462313849,6,,50-50,resistant
Stage 4,,20k,14.0,1923.26,261.9002608627949,6,,50-50,resistant
Stage 4,,20k,1.0,154.28,28.45548664141944,6,,50-50,sensitive
Stage 4,,20k,2.0,285.20666666666665,53.371791300898515,6,,50-50,sensitive
Stage 4,,20k,3.0,425.075,53.41050823573954,6,,50-50,sensitive
Stage 4,,20k,4.0,562.615,81.11502813905696,6,,50-50,sensitive
Stage 4,,20k,5.0,850.4516666666667,146.72134247159366,6,,50-50,sensitive
Stage 4,,20k,6.0,932.2550000000001,155.2712417352293,6,,50-50,sensitive
Stage 4,,20k,7.0,1392.045,224.30646247934988,6,,50-50,sensitive
Stage 4,,20k,8.0,999.73,130.18899738457162,6,,50-50,sensitive
Stage 4,,20k,9.0,1287.6316666666664,191.6167623582725,6,,50-50,sensitive
Stage 4,,20k,10.0,1285.185,219.2580723029371,6,,50-50,sensitive
Stage 4,,20k,11.0,1589.9216666666669,371.12995542891264,6,,50-50,sensitive
Stage 4,,20k,12.0,1183.66,376.370040412358,6,,50-50,sensitive
Stage 4,,20k,13.0,1283.0133333333333,316.08830865229214,6,,50-50,sensitive
Stage 4,,20k,14.0,1010.3066666666667,186.33405052932935,6,,50-50,sensitive
Stage 4,,20k,1.0,26.93166666666667,7.712621906113812,6,,75-25,resistant
Stage 4,,20k,2.0,42.105,12.845464180013114,6,,75-25,resistant
Stage 4,,20k,3.0,64.44166666666668,32.579647890464784,6,,75-25,resistant
Stage 4,,20k,4.0,128.0016666666667,43.202885281733984,6,,75-25,resistant
Stage 4,,20k,5.0,186.15166666666664,73.38577938992448,6,,75-25,resistant
Stage 4,,20k,6.0,262.3983333333333,63.82637179619929,6,,75-25,resistant
Stage 4,,20k,7.0,430.875,102.77296448969446,6,,75-25,resistant
Stage 4,,20k,8.0,525.69,166.53935979221248,6,,75-25,resistant
Stage 4,,20k,9.0,900.48,256.6712732660202,6,,75-25,resistant
Stage 4,,20k,10.0,1261.5033333333333,239.40521938058635,6,,75-25,resistant
Stage 4,,20k,11.0,1896.801666666667,306.68893005236873,6,,75-25,resistant
Stage 4,,20k,12.0,1271.0700000000004,432.54026434541333,6,,75-25,resistant
Stage 4,,20k,13.0,2274.6516666666666,514.4761490066052,6,,75-25,resistant
Stage 4,,20k,14.0,1507.9783333333335,386.3869213840793,6,,75-25,resistant
Stage 4,,20k,1.0,216.94833333333335,77.6938088696047,6,,75-25,sensitive
Stage 4,,20k,2.0,395.03833333333336,170.50798297049516,6,,75-25,sensitive
Stage 4,,20k,3.0,575.9033333333333,243.18167378868554,6,,75-25,sensitive
Stage 4,,20k,4.0,750.965,322.54072752134726,6,,75-25,sensitive
Stage 4,,20k,5.0,1098.7666666666667,378.7628398175654,6,,75-25,sensitive
Stage 4,,20k,6.0,1222.9466666666665,450.40886668300243,6,,75-25,sensitive
Stage 4,,20k,7.0,1636.885,637.1241849671067,6,,75-25,sensitive
Stage 4,,20k,8.0,1417.09,443.7280866025949,6,,75-25,sensitive
Stage 4,,20k,9.0,1830.3733333333337,503.6034998951722,6,,75-25,sensitive
Stage 4,,20k,10.0,2137.61,509.2529415526237,6,,75-25,sensitive
Stage 4,,20k,11.0,2132.978333333333,452.9410736692651,6,,75-25,sensitive
Stage 4,,20k,12.0,1500.195,456.8478012971059,6,,75-25,sensitive
Stage 4,,20k,13.0,1762.6516666666669,555.3620262645499,6,,75-25,sensitive
Stage 4,,20k,14.0,1454.5266666666666,395.7461969832011,6,,75-25,sensitive
Stage 4,,30k,1.0,87.41333333333334,30.994539303991385,6,,25-75,resistant
Stage 4,,30k,2.0,146.07000000000002,50.176282843590556,6,,25-75,resistant
Stage 4,,30k,3.0,261.51,88.07241656727717,6,,25-75,resistant
Stage 4,,30k,4.0,490.7949999999999,166.73840394462218,6,,25-75,resistant
Stage 4,,30k,5.0,872.2133333333333,271.5645539216535,6,,25-75,resistant
Stage 4,,30k,6.0,1398.1966666666667,305.70214534194344,6,,25-75,resistant
Stage 4,,30k,7.0,2656.3349999999996,473.95287173937453,6,,25-75,resistant
Stage 4,,30k,8.0,2187.6316666666667,289.6015420826807,6,,25-75,resistant
Stage 4,,30k,9.0,3209.313333333333,394.9981767890413,6,,25-75,resistant
Stage 4,,30k,10.0,3193.9033333333336,494.45212907486456,6,,25-75,resistant
Stage 4,,30k,11.0,3624.1133333333332,299.41736794425725,6,,25-75,resistant
Stage 4,,30k,12.0,2743.473333333334,523.4994752496573,6,,25-75,resistant
Stage 4,,30k,13.0,3918.6783333333333,325.4014214115645,6,,25-75,resistant
Stage 4,,30k,14.0,3231.2383333333332,366.0057643489603,6,,25-75,resistant
Stage 4,,30k,1.0,92.28666666666668,40.06909066433461,6,,25-75,sensitive
Stage 4,,30k,2.0,166.93666666666667,81.03921437592214,6,,25-75,sensitive
Stage 4,,30k,3.0,254.01833333333335,111.78459149930579,6,,25-75,sensitive
Stage 4,,30k,4.0,304.3333333333333,123.32520726383017,6,,25-75,sensitive
Stage 4,,30k,5.0,467.26833333333326,179.36697694020117,6,,25-75,sensitive
Stage 4,,30k,6.0,478.9883333333334,138.43551010007027,6,,25-75,sensitive
Stage 4,,30k,7.0,644.6283333333333,243.6669039009333,6,,25-75,sensitive
Stage 4,,30k,8.0,433.00666666666666,200.9247579236234,6,,25-75,sensitive
Stage 4,,30k,9.0,360.13166666666666,147.90548649954357,6,,25-75,sensitive
Stage 4,,30k,10.0,420.3900000000001,184.4421234967761,6,,25-75,sensitive
Stage 4,,30k,11.0,492.47499999999997,227.12579129196223,6,,25-75,sensitive
Stage 4,,30k,12.0,788.84,222.39804000934902,6,,25-75,sensitive
Stage 4,,30k,13.0,1077.7166666666667,528.4837344958373,6,,25-75,sensitive
Stage 4,,30k,14.0,921.545,310.60872703451207,6,,25-75,sensitive
Stage 4,,30k,1.0,53.36166666666666,13.277238292154987,6,,50-50,resistant
Stage 4,,30k,2.0,85.83833333333332,25.68997035161128,6,,50-50,resistant
Stage 4,,30k,3.0,136.93666666666667,33.39243666860307,6,,50-50,resistant
Stage 4,,30k,4.0,278.0416666666667,46.35402611064833,6,,50-50,resistant
Stage 4,,30k,5.0,439.5783333333333,79.45616210632544,6,,50-50,resistant
Stage 4,,30k,6.0,738.2216666666667,177.49026558283884,6,,50-50,resistant
Stage 4,,30k,7.0,1333.6733333333334,309.0060261979799,6,,50-50,resistant
Stage 4,,30k,8.0,1333.7316666666666,293.10716998508695,6,,50-50,resistant
Stage 4,,30k,9.0,2235.375,479.03835223288746,6,,50-50,resistant
Stage 4,,30k,10.0,2239.6666666666665,453.9102215930664,6,,50-50,resistant
Stage 4,,30k,11.0,2711.556666666667,452.7714552692856,6,,50-50,resistant
Stage 4,,30k,12.0,2136.7833333333333,422.8302909521344,6,,50-50,resistant
Stage 4,,30k,13.0,3352.3216666666667,286.4150972568776,6,,50-50,resistant
Stage 4,,30k,14.0,2315.278333333333,217.87815103095275,6,,50-50,resistant
Stage 4,,30k,1.0,165.45833333333334,52.94531836401277,6,,50-50,sensitive
Stage 4,,30k,2.0,282.01500000000004,85.33140353937699,6,,50-50,sensitive
Stage 4,,30k,3.0,432.8383333333333,100.62514226905057,6,,50-50,sensitive
Stage 4,,30k,4.0,607.8166666666667,110.71990618974831,6,,50-50,sensitive
Stage 4,,30k,5.0,879.0050000000001,219.14863182324453,6,,50-50,sensitive
Stage 4,,30k,6.0,947.1116666666667,239.05623199713216,6,,50-50,sensitive
Stage 4,,30k,7.0,1412.7849999999999,240.41241288668937,6,,50-50,sensitive
Stage 4,,30k,8.0,1018.185,284.7358555398319,6,,50-50,sensitive
Stage 4,,30k,9.0,1172.4866666666667,271.0783020949236,6,,50-50,sensitive
Stage 4,,30k,10.0,1294.5683333333334,248.57568701839418,6,,50-50,sensitive
Stage 4,,30k,11.0,1082.5033333333333,232.0231470062129,6,,50-50,sensitive
Stage 4,,30k,12.0,1456.9150000000002,210.1237815907567,6,,50-50,sensitive
Stage 4,,30k,13.0,1700.3266666666666,294.69373442044315,6,,50-50,sensitive
Stage 4,,30k,14.0,1370.07,316.1668357687124,6,,50-50,sensitive
Stage 4,,30k,1.0,28.45,7.880368011711128,6,,75-25,resistant
Stage 4,,30k,2.0,45.685,19.06367514410587,6,,75-25,resistant
Stage 4,,30k,3.0,72.71833333333332,27.530788885657937,6,,75-25,resistant
Stage 4,,30k,4.0,127.53333333333332,52.50892901846949,6,,75-25,resistant
Stage 4,,30k,5.0,211.36,83.11447767988439,6,,75-25,resistant
Stage 4,,30k,6.0,311.8583333333333,124.05590649649321,6,,75-25,resistant
Stage 4,,30k,7.0,585.2883333333333,153.0906369986965,6,,75-25,resistant
Stage 4,,30k,8.0,720.1316666666667,239.57028550441453,6,,75-25,resistant
Stage 4,,30k,9.0,1168.5216666666668,326.5391023088455,6,,75-25,resistant
Stage 4,,30k,10.0,1358.1716666666664,389.328926046687,6,,75-25,resistant
Stage 4,,30k,11.0,1719.3033333333333,308.32714182612375,6,,75-25,resistant
Stage 4,,30k,12.0,1458.7166666666665,262.02808083613223,6,,75-25,resistant
Stage 4,,30k,13.0,2386.6633333333334,354.5391610903747,6,,75-25,resistant
Stage 4,,30k,14.0,1738.6666666666667,126.1601587929671,6,,75-25,resistant
Stage 4,,30k,1.0,218.08333333333334,62.26806393864087,6,,75-25,sensitive
Stage 4,,30k,2.0,356.52833333333336,126.73715846848812,6,,75-25,sensitive
Stage 4,,30k,3.0,545.945,169.14485824286825,6,,75-25,sensitive
Stage 4,,30k,4.0,755.7766666666666,253.3496261427411,6,,75-25,sensitive
Stage 4,,30k,5.0,1013.1566666666666,325.43385396523615,6,,75-25,sensitive
Stage 4,,30k,6.0,1191.6316666666664,375.1336643073594,6,,75-25,sensitive
Stage 4,,30k,7.0,1758.6866666666667,480.5949171460999,6,,75-25,sensitive
Stage 4,,30k,8.0,1400.4566666666667,329.9780400370101,6,,75-25,sensitive
Stage 4,,30k,9.0,1660.7133333333334,399.4111977231819,6,,75-25,sensitive
Stage 4,,30k,10.0,2107.1266666666666,599.9531330584637,6,,75-25,sensitive
Stage 4,,30k,11.0,1744.1750000000002,431.6163360091923,6,,75-25,sensitive
Stage 4,,30k,12.0,1827.7083333333333,424.03159478589174,6,,75-25,sensitive
Stage 4,,30k,13.0,1923.9083333333335,491.59320692689255,6,,75-25,sensitive
Stage 4,,30k,14.0,1647.07,379.0846127713442,6,,75-25,sensitive
