stage,cell_line,density,time,sample_mean,sample_sd,n_wells,dose,mix,component
Stage 2,A2780Naive,30k,2.0,801.887693,39.90378690553084,3,0.67,,
Stage 2,A2780cis,20k,2.0,136.019406,10.848645218439165,3,1.47,,
Stage 2,A2780cis,20k,2.0,153.74926733333334,10.83285225720587,3,1.0,,
Stage 2,A2780cis,20k,2.0,136.68186733333332,14.583473290976753,3,0.67,,
Stage 2,A2780cis,30k,2.0,143.64463766666665,10.157802512543567,3,1.47,,
Stage 2,A2780cis,30k,2.0,206.52970666666667,29.122418477423224,3,1.0,,
Stage 2,A2780cis,30k,2.0,208.10995366666666,19.738594181299362,3,0.67,,
Stage 2,A2780Naive,20k,3.0,910.885918,268.31573727440104,3,1.47,,
Stage 2,A2780Naive,20k,3.0,498.45925933333325,37.40847397266813,3,1.0,,
Stage 2,A2780Naive,20k,3.0,790.214892,112.82525592566375,3,0.67,,
Stage 2,A2780Naive,30k,3.0,1293.4153163333333,170.58104192797097,3,1.47,,
Stage 2,A2780Naive,30k,3.0,810.4685956666666,176.78569051111168,3,1.0,,
Stage 2,A2780Naive,30k,3.0,1336.278318,129.402394870851,3,0.67,,
Stage 2,A2780cis,20k,3.0,262.4119983333333,16.347947279750255,3,1.47,,
Stage 2,A2780cis,20k,3.0,298.6227236666667,16.774545686365677,3,1.0,,
Stage 2,A2780cis,20k,3.0,256.032137,30.635367115992477,3,0.67,,
Stage 2,A2780cis,30k,3.0,301.875849,39.226072738652036,3,1.47,,
Stage 2,A2780cis,30k,3.0,392.79753066666666,46.63500264366997,3,1.0,,
Stage 2,A2780cis,30k,3.0,381.1926696666667,40.317770321620955,3,0.67,,
Stage 2,A2780Naive,20k,4.0,928.761304,246.89055204510683,3,1.47,,
Stage 2,A2780Naive,20k,4.0,690.7097223333334,82.90411015250704,3,1.0,,
Stage 2,A2780Naive,20k,4.0,880.948534,87.464065055934,3,0.67,,
Stage 2,A2780Naive,30k,4.0,1242.3761956666667,164.01874215429092,3,1.47,,
Stage 2,A2780Naive,30k,4.0,1072.5972223333333,239.80252802306455,3,1.0,,
Stage 2,A2780Naive,30k,4.0,1623.1049383333336,196.81890218591514,3,0.67,,
Stage 2,A2780cis,20k,4.0,627.1851849999999,19.962486687698334,3,1.47,,
Stage 2,A2780cis,20k,4.0,584.2937496666667,9.54142396660711,3,1.0,,
Stage 2,A2780cis,20k,4.0,551.4876543333334,76.4169258655234,3,0.67,,
Stage 2,A2780cis,30k,4.0,670.1066746666667,93.49924346121796,3,1.47,,
Stage 2,A2780cis,30k,4.0,793.1631946666666,75.54445737565696,3,1.0,,
Stage 2,A2780cis,30k,4.0,731.6507716666666,102.51631341890194,3,0.67,,
Stage 2,A2780Naive,20k,5.0,914.7665896666667,276.51950030057634,3,1.47,,
Stage 2,A2780Naive,20k,5.0,804.9089893333334,111.6833947719338,3,1.0,,
Stage 2,A2780Naive,20k,5.0,1277.0010803333332,165.05601588385193,3,0.67,,
Stage 2,A2780Naive,30k,5.0,1196.6721066666667,67.31583243080617,3,1.47,,
Stage 2,A2780Naive,30k,5.0,1220.3375386666667,181.17869734532147,3,1.0,,
Stage 2,A2780Naive,30k,5.0,2076.8491126666668,140.58328238133572,3,0.67,,
Stage 2,A2780cis,20k,5.0,1055.7064813333334,58.54088181799987,3,1.47,,
