Model,Params,BIC,SSR
Logistic,"[0.7715262920294105, 4069.9666200950132]",139.49134941864483,203967.705778555
Gompertz,"[0.40945831335492244, 5.46732335738459, 4276.4838168878]",153.7460877724032,467618.680260003
