Day,Well,mean_value,n_tiles,n_channels
1,A3,101.35,3,1
1,A6,125.25,3,1
1,B3,41.27,3,1
1,B6,91.5,3,1
1,C3,60.37,3,1
1,C6,104.74,3,1
2,A3,164.06,3,1
2,A6,216.72,3,1
2,B3,75.24,3,1
2,B6,155.96,3,1
2,C3,102.43,3,1
2,C6,162.01,3,1
3,A3,284.09,3,1
3,A6,385.27,3,1
3,B3,139.58,3,1
3,B6,296.48,3,1
3,C3,181.3,3,1
3,C6,282.34,3,1
4,A3,557.8,3,1
4,A6,744.88,3,1
4,B3,299.54,3,1
4,B6,452.77,3,1
4,C3,327.16,3,1
4,C6,562.62,3,1
5,A3,986.27,3,1
5,A6,1231.74,3,1
5,B3,564.58,3,1
5,B6,928.62,3,1
5,C3,533.08,3,1
5,C6,988.99,3,1
6,A3,1597.01,3,1
6,A6,1764.44,3,1
6,B3,1015.31,3,1
6,B6,1496.51,3,1
6,C3,1036.59,3,1
6,C6,1479.32,3,1
7,A3,2760.22,3,1
7,A6,3119.24,3,1
7,B3,2121.22,3,1
7,B6,3022.58,3,1
7,C3,2011.04,3,1
7,C6,2903.71,3,1
8,A3,2340.34,3,1
8,A6,2462.81,3,1
8,B3,1810.96,3,1
8,B6,2476.31,3,1
8,C3,1881.08,3,1
8,C6,2154.29,3,1
9,A3,3345.38,3,1
9,A6,3447.36,3,1
9,B3,2696.17,3,1
9,B6,3690.3,3,1
9,C3,2762.83,3,1
9,C6,3313.84,3,1
10,A3,3237.98,3,1
10,A6,3866.81,3,1
10,B3,2750.03,3,1
10,B6,3380.54,3,1
10,C3,2500.28,3,1
10,C6,3427.78,3,1
11,A3,3714.65,3,1
11,A6,3718.08,3,1
11,B3,3238.08,3,1
11,B6,3809.81,3,1
11,C3,3280.18,3,1
11,C6,3983.88,3,1
12,A3,2294.91,3,1
12,A6,3075.27,3,1
12,B3,3151.04,3,1
12,B6,2309.79,3,1
12,C3,2225.61,3,1
12,C6,3404.22,3,1
13,A3,3946.4,3,1
13,A6,4139.24,3,1
13,B3,3674.58,3,1
13,B6,3989.53,3,1
13,C3,3426.96,3,1
13,C6,4335.36,3,1
14,A3,2747.04,3,1
14,A6,3590.48,3,1
14,B3,3352.66,3,1
14,B6,3158.12,3,1
14,C3,2893.22,3,1
14,C6,3645.91,3,1
