Day,day_mean_value,n_wells
1,87.41,6
2,146.07,6
3,261.51,6
4,490.8,6
5,872.21,6
6,1398.2,6
7,2656.33,6
8,2187.63,6
9,3209.31,6
10,3193.9,6
11,3624.11,6
12,2743.47,6
13,3918.68,6
14,3231.24,6
