source_file,Day,Well,mean_value,n_tiles,n_channels
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,1,A3,101.35,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,1,A6,125.25,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,1,B3,41.27,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,1,B6,91.5,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,1,C3,60.37,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,1,C6,104.74,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,2,A3,164.06,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,2,A6,216.72,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,2,B3,75.24,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,2,B6,155.96,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,2,C3,102.43,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,2,C6,162.01,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,3,A3,284.09,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,3,A6,385.27,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,3,B3,139.58,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,3,B6,296.48,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,3,C3,181.3,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,3,C6,282.34,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,4,A3,557.8,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,4,A6,744.88,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,4,B3,299.54,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,4,B6,452.77,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,4,C3,327.16,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,4,C6,562.62,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,5,A3,986.27,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,5,A6,1231.74,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,5,B3,564.58,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,5,B6,928.62,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,5,C3,533.08,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,5,C6,988.99,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,6,A3,1597.01,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,6,A6,1764.44,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,6,B3,1015.31,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,6,B6,1496.51,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,6,C3,1036.59,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,6,C6,1479.32,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,7,A3,2760.22,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,7,A6,3119.24,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,7,B3,2121.22,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,7,B6,3022.58,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,7,C3,2011.04,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,7,C6,2903.71,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,8,A3,2340.34,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,8,A6,2462.81,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,8,B3,1810.96,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,8,B6,2476.31,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,8,C3,1881.08,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,8,C6,2154.29,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,9,A3,3345.38,3,1
