Day,day_mean_value,day_sd,n_wells,day_sem
1,28.45,7.8804,6,3.2172
2,45.68,19.0637,6,7.7827
3,72.72,27.5308,6,11.2394
4,127.53,52.5089,6,21.4367
5,211.36,83.1145,6,33.9314
6,311.86,124.0559,6,50.6456
7,585.29,153.0906,6,62.499
8,720.13,239.5703,6,97.8042
9,1168.52,326.5391,6,133.309
10,1358.17,389.3289,6,158.9429
11,1719.3,308.3271,6,125.874
12,1458.72,262.0281,6,106.9725
13,2386.66,354.5392,6,144.74
14,1738.67,126.1602,6,51.5047
