Day,Well,mean_value,n_tiles,n_channels
1,A1,22.75,3,1
1,A4,40.76,3,1
1,B1,21.93,3,1
1,B4,21.05,3,1
1,C1,30.99,3,1
1,C4,33.22,3,1
2,A1,36.74,3,1
2,A4,77.33,3,1
2,B1,23.82,3,1
2,B4,42.73,3,1
2,C1,35.64,3,1
2,C4,57.85,3,1
3,A1,55.87,3,1
3,A4,120.95,3,1
3,B1,47.97,3,1
3,B4,57.86,3,1
3,C1,64.33,3,1
3,C4,89.33,3,1
4,A1,88.81,3,1
4,A4,203.49,3,1
4,B1,77.08,3,1
4,B4,88.22,3,1
4,C1,130.93,3,1
4,C4,176.67,3,1
5,A1,123.87,3,1
5,A4,345.19,3,1
5,B1,129.47,3,1
5,B4,190.94,3,1
5,C1,227.39,3,1
5,C4,251.3,3,1
6,A1,181.75,3,1
6,A4,513.51,3,1
6,B1,231.37,3,1
6,B4,270.06,3,1
6,C1,407.39,3,1
6,C4,267.07,3,1
7,A1,542.65,3,1
7,A4,876.55,3,1
7,B1,418.97,3,1
7,B4,537.81,3,1
7,C1,570.1,3,1
7,C4,565.65,3,1
8,A1,562.87,3,1
8,A4,1032.41,3,1
8,B1,620.39,3,1
8,B4,448.08,3,1
8,C1,997.73,3,1
8,C4,659.31,3,1
9,A1,1004.43,3,1
9,A4,1697.54,3,1
9,B1,1033.03,3,1
9,B4,822.24,3,1
9,C1,1428.51,3,1
9,C4,1025.38,3,1
10,A1,1307.32,3,1
10,A4,1958.94,3,1
10,B1,1198.2,3,1
10,B4,1209.02,3,1
10,C1,1636.24,3,1
10,C4,839.31,3,1
11,A1,1686.73,3,1
11,A4,2099.37,3,1
11,B1,1765.41,3,1
11,B4,1512.84,3,1
11,C1,1991.49,3,1
11,C4,1259.98,3,1
12,A1,1596.83,3,1
12,A4,1601.31,3,1
12,B1,1409.37,3,1
12,B4,1038.25,3,1
12,C1,1784.33,3,1
12,C4,1322.21,3,1
13,A1,2378.01,3,1
13,A4,2804.32,3,1
13,B1,2737.72,3,1
13,B4,2248.9,3,1
13,C1,2318.55,3,1
13,C4,1832.48,3,1
14,A1,1673.08,3,1
14,A4,1623.01,3,1
14,B1,1958.88,3,1
14,B4,1633.13,3,1
14,C1,1766.64,3,1
14,C4,1777.26,3,1
