source_file,Day,day_mean_value,day_sd,n_wells,day_sem
measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,1,87.41,30.9945,6,12.6535
measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,2,146.07,50.1763,6,20.4844
measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,3,261.51,88.0724,6,35.9554
measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,4,490.8,166.7384,6,68.0707
measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,5,872.21,271.5646,6,110.8658
measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,6,1398.2,305.7021,6,124.8024
measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,7,2656.33,473.9529,6,193.4905
measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,8,2187.63,289.6015,6,118.2293
measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,9,3209.31,394.9982,6,161.2573
measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,10,3193.9,494.4521,6,201.8592
measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,11,3624.11,299.4174,6,122.2366
measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,12,2743.47,523.4995,6,213.7178
measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,13,3918.68,325.4014,6,132.8446
measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,14,3231.24,366.0058,6,149.4212
measure_50-50A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,1,53.36,13.2772,6,5.4204
measure_50-50A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,2,85.84,25.69,6,10.4879
measure_50-50A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,3,136.94,33.3924,6,13.6324
measure_50-50A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,4,278.04,46.354,6,18.9239
measure_50-50A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,5,439.58,79.4562,6,32.4379
measure_50-50A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,6,738.22,177.4903,6,72.4601
measure_50-50A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,7,1333.67,309.006,6,126.1512
measure_50-50A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,8,1333.73,293.1072,6,119.6605
measure_50-50A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,9,2235.38,479.0384,6,195.5666
measure_50-50A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,10,2239.67,453.9102,6,185.3081
measure_50-50A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,11,2711.56,452.7715,6,184.8432
measure_50-50A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,12,2136.78,422.8303,6,172.6197
measure_50-50A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,13,3352.32,286.4151,6,116.9285
measure_50-50A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,14,2315.28,217.8782,6,88.9484
measure_75-25A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,1,28.45,7.8804,6,3.2172
measure_75-25A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,2,45.68,19.0637,6,7.7827
measure_75-25A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,3,72.72,27.5308,6,11.2394
measure_75-25A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,4,127.53,52.5089,6,21.4367
measure_75-25A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,5,211.36,83.1145,6,33.9314
measure_75-25A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,6,311.86,124.0559,6,50.6456
measure_75-25A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,7,585.29,153.0906,6,62.499
measure_75-25A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,8,720.13,239.5703,6,97.8042
measure_75-25A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,9,1168.52,326.5391,6,133.309
measure_75-25A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,10,1358.17,389.3289,6,158.9429
measure_75-25A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,11,1719.3,308.3271,6,125.874
measure_75-25A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,12,1458.72,262.0281,6,106.9725
measure_75-25A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,13,2386.66,354.5392,6,144.74
measure_75-25A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,14,1738.67,126.1602,6,51.5047
