density,mix,model,drug_S,drug_R,drug_S_params,drug_R_params,RMSE_S,RMSE_R,RMSE_total,R2_total
20k,25-75,option2_treated_decay,transit_erlang_m4,time_delay,"kmax=3.9788, n=2.651, K50=2.0369, tau=5.5251","alpha=0.873, beta=0.4989, n=5.9986, kD=2.5183",2237.267234910297,2283.727022607445,836.742961200213,0.7009677856944772
20k,50-50,option2_treated_decay,transit_erlang_m4,time_delay,"kmax=3.9788, n=2.651, K50=2.0369, tau=5.5251","alpha=0.873, beta=0.4989, n=5.9986, kD=2.5183",2358.49878230403,1717.2303502722325,1136.986864052347,0.39214035166371175
20k,75-25,option2_treated_decay,transit_erlang_m4,time_delay,"kmax=3.9788, n=2.651, K50=2.0369, tau=5.5251","alpha=0.873, beta=0.4989, n=5.9986, kD=2.5183",2086.449496281762,1057.340802745336,1408.7864099687959,-0.28398288821273754
30k,25-75,option2_treated_decay,time_delay,theta_hill_kill,"alpha=0.2252, beta=0.5, n=1.6709, kD=1.3779","kmax=3.9293, n=1.9393, K50=8.972",561.7027518093602,1563.4403216897103,2079.9079052539287,-0.7590614898783832
30k,50-50,option2_treated_decay,time_delay,theta_hill_kill,"alpha=0.2252, beta=0.5, n=1.6709, kD=1.3779","kmax=3.9293, n=1.9393, K50=8.972",1151.2591104333394,1687.7897216100384,879.0965279220052,0.647355351122739
30k,75-25,option2_treated_decay,time_delay,theta_hill_kill,"alpha=0.2252, beta=0.5, n=1.6709, kD=1.3779","kmax=3.9293, n=1.9393, K50=8.972",1334.5916144309288,1128.6580167601371,353.7717032023367,0.9249403525749759
