density,mix,Day,S_obs,R_obs,T_obs,S_hat,R_hat,T_hat
30k,50-50,13,1700.33,3352.32,5052.65,3718.9816532169525,25.685417385574144,3744.6670706025266
30k,50-50,14,1370.07,2315.28,3685.3500000000004,3886.0979819700465,13.564753734799877,3899.6627357048465
30k,75-25,1,218.08,28.45,246.53,218.08,28.45,246.53
30k,75-25,2,356.53,45.68,402.21,336.89573384032684,32.816072812823606,369.71180665315046
30k,75-25,3,545.95,72.72,618.6700000000001,498.34634528710194,40.9311241792037,539.2774694663057
30k,75-25,4,755.78,127.53,883.31,717.1693413729244,47.73702350864969,764.9063648815741
30k,75-25,5,1013.16,211.36,1224.52,1055.9245797852657,50.42386904354103,1106.3484488288068
30k,75-25,6,1191.63,311.86,1503.4900000000002,1531.2779871045216,46.34031737998817,1577.6183044845097
30k,75-25,7,1758.69,585.29,2343.98,2139.1996333917336,36.00672507318342,2175.2063584649172
30k,75-25,8,1400.46,720.13,2120.59,2786.022347187143,23.492047277648737,2809.514394464792
30k,75-25,9,1660.71,1168.52,2829.23,3313.8506627564125,13.237236502947503,3327.08789925936
30k,75-25,10,2107.13,1358.17,3465.3,3633.122464999703,6.780526080598826,3639.902991080302
30k,75-25,11,1744.18,1719.3,3463.48,3791.142957308084,3.3070612631195586,3794.4500185712036
30k,75-25,12,1827.71,1458.72,3286.4300000000003,3872.263473231519,1.5761650296427026,3873.839638261162
30k,75-25,13,1923.91,2386.66,4310.57,3921.6631166426473,0.7420389518460679,3922.4051555944934
30k,75-25,14,1647.07,1738.67,3385.74,3955.1392149288185,0.34666266458767675,3955.4858775934063
