Day,day_mean_cells,n_wells
1,34.93,3
2,59.4,3
3,105.15,3
4,218.27,3
5,401.89,3
6,348.4,3
7,538.18,3
8,748.25,3
9,815.83,3
10,605.92,3
11,905.29,3
12,496.23,3
13,678.32,3
14,422.31,3
