Day,Well,mean_cells,n_tiles,channel_count
1,A6,81.3,6,1
1,B6,52.61,6,1
1,C6,49.23,6,1
2,A6,130.99,6,1
2,B6,93.73,6,1
2,C6,86.12,6,1
3,A6,236.2,6,1
3,B6,149.12,6,1
3,C6,149.41,6,1
4,A6,439.21,6,1
4,B6,345.52,6,1
4,C6,302.26,6,1
5,A6,918.61,6,1
5,B6,699.38,6,1
5,C6,654.31,6,1
6,A6,1206.52,6,1
6,B6,1077.83,6,1
6,C6,973.97,6,1
7,A6,1715.12,6,1
7,B6,1600.35,6,1
7,C6,1383.58,6,1
8,A6,2028.77,6,1
8,B6,2019.73,6,1
8,C6,1783.2,6,1
9,A6,2633.67,6,1
9,B6,2468.65,6,1
9,C6,2237.33,6,1
10,A6,1775.87,6,1
10,B6,1759.68,6,1
10,C6,1938.27,6,1
11,A6,3250.9,6,1
11,B6,3204.08,6,1
11,C6,3294.22,6,1
12,A6,1530.98,6,1
12,B6,1703.11,6,1
12,C6,1661.1,6,1
13,A6,2607.07,6,1
13,B6,2767.95,6,1
13,C6,2645.8,6,1
14,A6,1889.4,6,1
14,B6,1609.27,6,1
14,C6,1556.07,6,1
