Day,Well,mean_cells,n_tiles,channel_count
1,A4,25.64,6,1
1,B4,22.71,6,1
1,C4,28.05,6,1
2,A4,40.23,6,1
2,B4,48.93,6,1
2,C4,42.31,6,1
3,A4,63.15,6,1
3,B4,73.31,6,1
3,C4,65.26,6,1
4,A4,131.84,6,1
4,B4,127.17,6,1
4,C4,107.4,6,1
5,A4,210.92,6,1
5,B4,233.53,6,1
5,C4,194.14,6,1
6,A4,194.07,6,1
6,B4,197.59,6,1
6,C4,154.38,6,1
7,A4,229.41,6,1
7,B4,296.73,6,1
7,C4,287.9,6,1
8,A4,459.67,6,1
8,B4,417.05,6,1
8,C4,404.0,6,1
9,A4,442.31,6,1
9,B4,428.4,6,1
9,C4,395.3,6,1
10,A4,370.38,6,1
10,B4,384.0,6,1
10,C4,334.1,6,1
11,A4,456.32,6,1
11,B4,385.96,6,1
11,C4,416.35,6,1
12,A4,337.13,6,1
12,B4,270.16,6,1
12,C4,774.92,6,2
13,A4,388.36,6,1
13,B4,282.05,6,1
13,C4,311.15,6,1
14,A4,231.73,6,1
14,B4,201.17,6,1
14,C4,203.65,6,1
