Day,day_mean_cells,n_wells
1,25.47,3
2,43.82,3
3,67.24,3
4,122.14,3
5,212.86,3
6,182.01,3
7,271.35,3
8,426.91,3
9,422.0,3
10,362.83,3
11,419.54,3
12,460.74,3
13,327.19,3
14,212.18,3
