density,mix,model,RMSE_S,RMSE_R,RMSE_total,R2_total
20k,25-75,option1_transfer,2572.0802874893434,1821.0808560475987,1172.1240489598592,0.41321230963479283
20k,50-50,option2_transfer,2284.31333562436,1712.1654470968047,1024.811254178747,0.5061669041587521
20k,75-25,option2_transfer,2098.642525635826,1057.3408027407013,1419.7355408024032,-0.3040187546336883
30k,25-75,option1_transfer,2338.9824664347466,1492.8120735750226,999.898462508484,0.5934587567298273
30k,50-50,option2_transfer,2200.548215483248,1743.5138618384758,889.3843318987566,0.6390532654055734
30k,75-25,option2_transfer,2012.5026588333385,1133.7066170294108,1253.2737212852624,0.057997181842753265
