Day,Well,N Tiles,Mean Cells,SD Cells,SEM Cells
1,D4,6,114.262847,30.338293,12.385556
1,D5,6,106.092708,19.103835,7.799108
1,D6,6,137.013194,13.554738,5.533698
2,D4,6,190.076389,56.962606,23.254886
2,D5,6,205.055903,37.181036,15.179094
2,D6,6,229.197569,46.562855,19.009206
3,D4,6,338.570486,68.312573,27.888491
3,D5,6,386.285417,54.300490,22.168082
3,D6,6,418.722106,79.449717,32.435211
4,D4,6,650.693866,155.437026,63.456900
4,D5,6,697.335648,80.729668,32.957749
4,D6,6,846.922801,147.420986,60.184365
5,D4,6,1072.407986,288.492416,117.776536
5,D5,6,1338.002546,221.650093,90.488272
5,D6,6,1464.617593,278.012243,113.498023
6,D4,6,1715.290162,339.347373,138.537985
6,D5,6,2087.603588,398.019561,162.490805
6,D6,6,2137.800926,152.911463,62.425843
7,D4,6,2522.267361,242.352423,98.939962
7,D5,6,2653.206134,384.543432,156.989199
7,D6,6,2837.070023,237.557953,96.982628
8,D4,6,2507.567708,190.591571,77.808683
8,D5,6,2475.070602,351.228795,143.388555
8,D6,6,2652.391435,302.840003,123.633914
9,D4,6,3487.466319,242.546937,99.019372
9,D5,6,3541.178935,370.690842,151.333903
9,D6,6,3617.750926,601.421859,245.529446
10,D4,6,2798.190278,402.142035,164.173798
10,D5,6,3093.407523,448.823260,183.231329
10,D6,6,2801.533565,908.239783,370.787339
11,D4,6,3571.231829,222.907784,91.001722
11,D5,6,3836.341551,317.826171,129.751991
11,D6,6,3985.926968,306.905751,125.293748
12,D4,6,2888.585880,523.083362,213.547888
12,D5,6,3045.598264,675.460310,275.755517
12,D6,6,2720.606713,936.198761,382.201544
13,D4,6,4064.227199,159.849650,65.258346
13,D5,6,4196.991319,215.839478,88.116098
13,D6,6,4177.879745,248.461141,101.433836
14,D4,6,3221.911574,771.422609,314.931961
14,D5,6,3215.121065,768.434094,313.711905
14,D6,6,3543.621644,630.617116,257.448359
