Day,Well,N Tiles,Mean Cells,SD Cells,SEM Cells
1,D1,6,489.838426,161.443857,65.909179
1,D2,6,510.295949,116.605191,47.603870
1,D3,6,522.370370,112.941633,46.108228
2,D1,6,776.097801,222.758677,90.940849
2,D2,6,781.714931,180.737518,73.785783
2,D3,6,847.850347,149.528574,61.044785
3,D1,6,1269.710301,290.456465,118.578355
3,D2,6,1253.711111,236.284118,96.462587
3,D3,6,1485.413542,238.330079,97.297847
4,D1,6,1430.525116,337.556766,137.806973
4,D2,6,1614.884375,311.093546,127.003408
4,D3,6,1823.905324,301.134953,122.937830
5,D1,6,1935.523958,352.435163,143.881053
5,D2,6,2078.344792,372.993887,152.274117
5,D3,6,2216.678588,390.952084,159.605520
6,D1,6,2040.774421,534.886439,218.366474
6,D2,6,2543.451042,501.091510,204.569752
6,D3,6,2862.877315,332.743570,135.841993
7,D1,6,2616.218287,555.776176,226.894674
7,D2,6,3012.324421,525.749700,214.636416
7,D3,6,3059.156829,233.446980,95.304330
8,D1,6,2696.233796,625.351244,255.298576
8,D2,6,3043.966898,659.037524,269.050943
8,D3,6,3107.198380,205.533299,83.908618
9,D1,6,2886.875116,530.752626,216.678852
9,D2,6,3365.264815,445.963173,182.063703
9,D3,6,3408.747685,254.761979,104.006142
10,D1,6,2591.903588,380.562560,155.364014
10,D2,6,2762.651620,349.829328,142.817225
10,D3,6,2921.757292,332.947761,135.925354
11,D1,6,3078.653356,348.926902,142.448811
11,D2,6,3746.795023,238.989739,97.567153
11,D3,6,3479.447222,211.945543,86.526406
12,D1,6,2784.171528,449.974410,183.701284
12,D2,6,3368.380556,317.555785,129.641606
12,D3,6,3193.953241,390.486731,159.415540
13,D1,6,3456.642130,535.089936,218.449552
13,D2,6,3871.640972,196.711926,80.307307
13,D3,6,3572.663773,363.414059,148.363168
14,D1,6,3188.413773,678.074150,276.822612
14,D2,6,3582.517130,374.298821,152.806854
14,D3,6,3500.418634,521.781543,213.016423
