cell_line,r,K,dose_applied,estimated_IC50,observed_inhibition_percent,SSR
A2780cis,0.7154804323555264,3914.8982832360234,1.0,Inf,0.0,Inf
A2780Naive,0.7704047537132155,4068.5940865751277,1.0,1.722411342421597,36.73214199550372,1.7975939314434394e7
