cell_line,r,K,IC50,n,SSR
A2780cis,0.7154804323554526,3914.898263966259,1.0,1.525,2.3172382049635876e7
A2780Naive,0.7704052120028306,4068.5937140536134,1.0,1.525,7.4657342396786045e6
