cell_line,r,K,dose_applied,estimated_IC50,observed_inhibition_percent,SSR,data_range
A2780cis,0.7173000434560339,3914.1609962153393,1.0,5.37164274940603,15.694539686695725,343537.42105317215,Day 0.0 to Day 10.0
A2780Naive,1.1963506969610167,3957.4235726735133,1.0,0.6809529854186982,59.49006359335601,2.2470354475580286e6,Day 0.0 to Day 10.0
