cell_line,r,K,IC50,effective_dose,n,inhibition_percent,SSR
A2780cis,0.7154804323555264,3914.8982832360234,1.0,0.49414805797446293,3.131064951281891,9.911019810721742,1.382987585962804e6
A2780Naive,0.7704047537132155,4068.5940865751277,1.0,1.2509260220876695,2.3605995440442493,62.913335432216066,2.1860318680472304e6
