Day,day_mean_value,day_sd,n_wells,day_sem
1,26.93,7.7126,6,3.1487
2,42.1,12.8455,6,5.2442
3,64.44,32.5796,6,13.3006
4,128.0,43.2029,6,17.6375
5,186.15,73.3858,6,29.9596
6,262.4,63.8264,6,26.057
7,430.88,102.773,6,41.9569
8,525.69,166.5394,6,67.9894
9,900.48,256.6713,6,104.7856
10,1261.5,239.4052,6,97.7368
11,1896.8,306.6889,6,125.2052
12,1271.07,432.5403,6,176.5838
13,2274.65,514.4761,6,210.034
14,1507.98,386.3869,6,157.7418
