Day,Well,mean_value,n_tiles,n_channels
1,A2,48.04,3,1
1,A5,47.14,3,1
1,B2,64.3,3,1
1,B5,31.31,3,1
1,C2,49.51,3,1
1,C5,67.39,3,1
2,A2,76.37,3,1
2,A5,101.03,3,1
2,B2,107.36,3,1
2,B5,76.32,3,1
2,C2,73.06,3,1
2,C5,104.74,3,1
3,A2,117.85,3,1
3,A5,137.34,3,1
3,B2,166.49,3,1
3,B5,134.9,3,1
3,C2,109.99,3,1
3,C5,185.18,3,1
4,A2,193.85,3,1
4,A5,245.25,3,1
4,B2,350.56,3,1
4,B5,266.88,3,1
4,C2,226.95,3,1
4,C5,334.55,3,1
5,A2,376.61,3,1
5,A5,499.81,3,1
5,B2,585.97,3,1
5,B5,614.19,3,1
5,C2,381.04,3,1
5,C5,561.24,3,1
6,A2,570.06,3,1
6,A5,637.82,3,1
6,B2,746.0,3,1
6,B5,737.47,3,1
6,C2,494.87,3,1
6,C5,655.2,3,1
7,A2,920.3,3,1
7,A5,1525.67,3,1
7,B2,1132.89,3,1
7,B5,1502.02,3,1
7,C2,1025.73,3,1
7,C5,1265.94,3,1
8,A2,1192.51,3,1
8,A5,1195.98,3,1
8,B2,1232.31,3,1
8,B5,1344.68,3,1
8,C2,1041.35,3,1
8,C5,951.63,3,1
9,A2,2186.31,3,1
9,A5,2338.93,3,1
9,B2,2158.75,3,1
9,B5,2666.06,3,1
9,C2,1633.02,3,1
9,C5,1866.16,3,1
10,A2,2473.31,3,1
10,A5,2615.98,3,1
10,B2,2335.18,3,1
10,B5,2726.83,3,1
10,C2,1777.8,3,1
10,C5,2062.31,3,1
11,A2,3189.72,3,1
11,A5,3536.23,3,1
11,B2,3122.0,3,1
11,B5,3935.72,3,1
11,C2,2937.44,3,1
11,C5,3193.65,3,1
12,A2,1887.6,3,1
12,A5,2459.1,3,1
12,B2,2862.58,3,1
12,B5,1700.97,3,1
12,C2,1353.14,3,1
12,C5,1371.34,3,1
13,A2,2999.52,3,1
13,A5,3297.68,3,1
13,B2,3202.26,3,1
13,B5,3469.21,3,1
13,C2,2390.29,3,1
13,C5,2868.09,3,1
14,A2,2196.98,3,1
14,A5,1943.39,3,1
14,B2,2243.79,3,1
14,B5,1720.71,3,1
14,C2,1857.1,3,1
14,C5,1577.59,3,1
