Day,day_mean_value,day_sd,n_wells,day_sem
1,51.28,13.1044,6,5.3498
2,89.81,16.1243,6,6.5827
3,141.96,28.7898,6,11.7534
4,269.67,61.5311,6,25.12
5,503.14,103.4387,6,42.2287
6,640.24,96.8774,6,39.55
7,1228.76,248.9051,6,101.6151
8,1159.74,140.842,6,57.4985
9,2141.54,360.7801,6,147.2879
10,2331.9,356.7588,6,145.6462
11,3319.13,358.9862,6,146.5555
12,1939.12,607.9924,6,248.2119
13,3037.84,382.161,6,156.0166
14,1923.26,261.9003,6,106.9203
