source_file,Day,Well,mean_value,n_tiles,n_channels
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,11,C6,3952.34,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,12,A3,2258.33,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,12,A6,1850.97,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,12,B3,2110.3,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,12,B6,2293.85,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,12,C3,1792.31,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,12,C6,3543.73,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,13,A3,3468.8,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,13,A6,4202.84,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,13,B3,3603.66,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,13,B6,4128.95,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,13,C3,3174.64,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,13,C6,4381.75,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,14,A3,1698.62,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,14,A6,2430.91,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,14,B3,2031.46,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,14,B6,1862.68,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,14,C3,2319.64,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,14,C6,2612.92,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,1,A2,48.04,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,1,A5,47.14,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,1,B2,64.3,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,1,B5,31.31,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,1,C2,49.51,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,1,C5,67.39,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,2,A2,76.37,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,2,A5,101.03,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,2,B2,107.36,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,2,B5,76.32,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,2,C2,73.06,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,2,C5,104.74,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,3,A2,117.85,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,3,A5,137.34,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,3,B2,166.49,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,3,B5,134.9,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,3,C2,109.99,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,3,C5,185.18,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,4,A2,193.85,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,4,A5,245.25,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,4,B2,350.56,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,4,B5,266.88,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,4,C2,226.95,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,4,C5,334.55,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,5,A2,376.61,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,5,A5,499.81,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,5,B2,585.97,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,5,B5,614.19,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,5,C2,381.04,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,5,C5,561.24,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,6,A2,570.06,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,6,A5,637.82,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,6,B2,746.0,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,6,B5,737.47,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,6,C2,494.87,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,6,C5,655.2,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,7,A2,920.3,3,1
