parameter,direction,original_bound,candidate_bound,original_bic,candidate_bic,bic_improvement,estimate,bound_margin_fraction,accepted
cis_tolerant_logit_shift,upper,3.0,4.5,-1142.561283682407,-1146.7157774675347,4.15449378512767,4.499996784718112,4.2870425171296725e-7,false
cis_tolerant_logit_shift,upper,3.0,6.0,-1142.561283682407,-1147.0406677458434,4.479384063436328,5.973175837709823,0.002980462476686362,false
log_cis_tolerant_context,lower,-4.0,-6.0,-1142.561283682407,-1146.344884958817,3.783601276409854,-5.996161043166657,0.00038389568333432325,false
log_cis_tolerant_context,lower,-4.0,-8.0,-1142.561283682407,-1145.7578845218993,3.1966008394922483,-6.748160167538817,0.10431998603843191,true
