time,count,source_file,condition,density,cell_line,dose,mix
1.0,58.52,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,coculture_treated,,,0.0,
1.0,108.82,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,coculture_treated,,,0.0,
1.0,99.5,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,coculture_treated,,,0.0,
1.0,123.95,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,coculture_treated,,,0.0,
1.0,98.9,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,coculture_treated,,,0.0,
1.0,155.41,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,coculture_treated,,,0.0,
1.0,49.23,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,coculture_treated,,,0.0,
1.0,103.53,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,coculture_treated,,,0.0,
1.0,47.83,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,coculture_treated,,,0.0,
1.0,98.82,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,coculture_treated,,,0.0,
1.0,88.59,measure_25-75A2780cisIC50tre1uM_5000Thres_day_averages.csv,coculture_treated,,,0.0,
1.0,87.41,measure_25-75A2780cisIC50tre1uM_5000Thres_day_averages.csv,coculture_treated,,,0.0,
1.0,87.19,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,coculture_treated,,,0.0,
1.0,103.33,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,coculture_treated,,,0.0,
1.0,36.64,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,coculture_treated,,,0.0,
1.0,93.09,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,coculture_treated,,,0.0,
1.0,100.0,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,coculture_treated,,,0.0,
1.0,111.27,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,coculture_treated,,,0.0,
1.0,101.35,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,coculture_treated,,,0.0,
1.0,125.25,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,coculture_treated,,,0.0,
1.0,41.27,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,coculture_treated,,,0.0,
1.0,91.5,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,coculture_treated,,,0.0,
1.0,60.37,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,coculture_treated,,,0.0,
