time,count,source_file,component,density,mix,replicate
10.0,3962.61,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,resistant,20k,25-75,2
10.0,3114.14,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,resistant,20k,25-75,3
10.0,2893.22,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,resistant,20k,25-75,4
10.0,2870.19,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,resistant,20k,25-75,5
10.0,2787.29,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,resistant,20k,25-75,6
11.0,3880.37,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,resistant,20k,25-75,1
11.0,4374.83,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,resistant,20k,25-75,2
11.0,3926.77,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,resistant,20k,25-75,3
11.0,4063.04,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,resistant,20k,25-75,4
11.0,3728.17,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,resistant,20k,25-75,5
11.0,3952.34,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,resistant,20k,25-75,6
12.0,2258.33,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,resistant,20k,25-75,1
12.0,1850.97,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,resistant,20k,25-75,2
12.0,2110.3,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,resistant,20k,25-75,3
12.0,2293.85,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,resistant,20k,25-75,4
12.0,1792.31,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,resistant,20k,25-75,5
12.0,3543.73,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,resistant,20k,25-75,6
13.0,3468.8,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,resistant,20k,25-75,1
13.0,4202.84,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,resistant,20k,25-75,2
13.0,3603.66,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,resistant,20k,25-75,3
13.0,4128.95,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,resistant,20k,25-75,4
13.0,3174.64,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,resistant,20k,25-75,5
13.0,4381.75,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,resistant,20k,25-75,6
14.0,1698.62,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,resistant,20k,25-75,1
14.0,2430.91,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,resistant,20k,25-75,2
