cell_line,model,pooling_mode,eligible_for_inheritance,bic,ssr,scaled_ssr,n_parameters,n_points,n_densities,n_mixes,untreated_interaction_model,untreated_interaction_pooling,treatment_interaction_mode,parameter_scope,initial_condition_strategy,residual_scaling,boundary_issue,params
A2780Naive+A2780cis,dual_time_decay_kill,shared,true,-559.4895384205089,2.719552991815414e7,5.485837389481923,3,168,2,3,lv_asymmetric_competition_death,partial_5pct,additive treatment effect on inherited growth and interaction dynamics,shared,fixed nominal day-zero total split by mix,component-trajectory peak,true,"(names = [:kill_sensitive, :kill_resistant, :lambda], values = [0.29694984233816685, 1.1672270610403515e-9, 0.07443883655147043], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
A2780Naive+A2780cis,dual_delayed_ramp_kill,independent_diagnostic,false,-558.7871524385656,2.815274390521887e7,4.729652308376771,8,168,2,3,lv_asymmetric_competition_death,partial_5pct,additive treatment effect on inherited growth and interaction dynamics,independent_diagnostic,fixed nominal day-zero total split by mix,component-trajectory peak,true,"(names = [:kill_sensitive_20k, :kill_resistant_20k, :lambda_20k, :onset_20k, :kill_sensitive_30k, :kill_resistant_30k, :lambda_30k, :onset_30k], values = [0.22501647546874734, 3.7430491875357195e-13, 4.999999997931118, 9.624392452337554e-11, 0.14932075795868124, 3.3400067057624844e-9, 4.999999999999534, 2.7140449001978415e-9], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
A2780Naive+A2780cis,dual_constant_kill,shared,true,-554.8495235045251,2.982295740265856e7,5.814115530776844,2,168,2,3,lv_asymmetric_competition_death,partial_5pct,additive treatment effect on inherited growth and interaction dynamics,shared,fixed nominal day-zero total split by mix,component-trajectory peak,true,"(names = [:kill_sensitive, :kill_resistant], values = [0.18642329358457146, 1.2398114932263886e-10], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
A2780Naive+A2780cis,dual_transit_damage,partial_5pct,true,-554.7811491099641,2.3969492970646873e7,5.148454235373827,6,168,2,3,lv_asymmetric_competition_death,partial_5pct,additive treatment effect on inherited growth and interaction dynamics,shared treatment center with all kill amplitudes scaled together within +/-5% by density,fixed nominal day-zero total split by mix,component-trajectory peak,true,"(names = [:kill_sensitive, :kill_resistant, :lambda, :onset, :clearance, :log_contrast_density], values = [0.2203921978509015, 3.7430491875357195e-13, 4.999999999999534, 6.550336078187509e-13, 0.8669977143618826, -0.04879015821177174], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
A2780Naive+A2780cis,dual_transit_competitor_scaled,partial_5pct,true,-554.7423730967537,2.273428138922136e7,4.844905592351157,8,168,2,3,lv_asymmetric_competition_death,partial_5pct,multiplicative drug scaling by inherited opposing-lineage competition burden,shared treatment center with all kill amplitudes scaled together within +/-5% by density,fixed nominal day-zero total split by mix,component-trajectory peak,true,"(names = [:kill_sensitive, :kill_resistant, :lambda, :onset, :clearance, :beta_sensitive, :beta_resistant, :log_contrast_density], values = [0.2935399698464941, 3.7430491875357195e-13, 4.999988545099586, 6.550336078187509e-13, 0.6038198403129291, -2.1988441146876996, 2.999995049496995, -0.048790138669011135], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
A2780Naive+A2780cis,sensitive_tolerant_transition,partial_5pct,true,-554.4945006252609,2.660028551292898e7,5.002325861323211,7,168,2,3,lv_asymmetric_competition_death,partial_5pct,additive treatment effect on inherited growth and interaction dynamics,shared treatment center with all kill amplitudes scaled together within +/-5% by density,fixed nominal day-zero total split by mix,component-trajectory peak,true,"(names = [:kill_sensitive, :kill_tolerant, :kill_resistant, :lambda, :onset, :transition, :log_contrast_density], values = [3.999999999999626, 0.302618057479195, 3.7430491875357195e-13, 0.031372410472576225, 1.1174662499920271, 0.04735953930359625, -0.04878730210903297], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
A2780Naive+A2780cis,dual_delayed_ramp_kill,partial_5pct,true,-552.8505819357526,2.8681902551979005e7,5.36924755192035,5,168,2,3,lv_asymmetric_competition_death,partial_5pct,additive treatment effect on inherited growth and interaction dynamics,shared treatment center with all kill amplitudes scaled together within +/-5% by density,fixed nominal day-zero total split by mix,component-trajectory peak,true,"(names = [:kill_sensitive, :kill_resistant, :lambda, :onset, :log_contrast_density], values = [0.18799397610655014, 3.7430491875357195e-13, 4.999999999967813, 6.550336078187509e-13, -0.04879016248630703], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
A2780Naive+A2780cis,sensitive_tolerant_transition,shared,true,-551.7108075604007,2.7216757246240854e7,5.243411644705002,6,168,2,3,lv_asymmetric_competition_death,partial_5pct,additive treatment effect on inherited growth and interaction dynamics,shared,fixed nominal day-zero total split by mix,component-trajectory peak,true,"(names = [:kill_sensitive, :kill_tolerant, :kill_resistant, :lambda, :onset, :transition], values = [0.46727049328964365, 0.03921884586787489, 1.2942315584836928e-5, 4.047886105294525, 2.9490691923021775, 0.032989379865250065], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
A2780Naive+A2780cis,dual_delayed_ramp_kill,shared,true,-544.0263568154214,2.9990886641306188e7,5.8340574167000545,4,168,2,3,lv_asymmetric_competition_death,partial_5pct,additive treatment effect on inherited growth and interaction dynamics,shared,fixed nominal day-zero total split by mix,component-trajectory peak,true,"(names = [:kill_sensitive, :kill_resistant, :lambda, :onset], values = [0.1883028018045106, 3.7430491875357195e-13, 4.99999832841296, 6.479323234007573e-10], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
A2780Naive+A2780cis,dual_transit_competitor_scaled,shared,true,-543.0195731324824,2.475531045899672e7,5.35593941620952,7,168,2,3,lv_asymmetric_competition_death,partial_5pct,multiplicative drug scaling by inherited opposing-lineage competition burden,shared,fixed nominal day-zero total split by mix,component-trajectory peak,true,"(names = [:kill_sensitive, :kill_resistant, :lambda, :onset, :clearance, :beta_sensitive, :beta_resistant], values = [0.2875656522259264, 3.7430491875357195e-13, 4.999999999999534, 6.550336078187509e-13, 0.7693778804559508, -2.3407841805622245, 1.1234267277512293], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
A2780Naive+A2780cis,dual_transit_damage,shared,true,-542.6568464217752,2.6493494304558724e7,5.705124323634649,5,168,2,3,lv_asymmetric_competition_death,partial_5pct,additive treatment effect on inherited growth and interaction dynamics,shared,fixed nominal day-zero total split by mix,component-trajectory peak,true,"(names = [:kill_sensitive, :kill_resistant, :lambda, :onset, :clearance], values = [0.21112623263013738, 3.7430491875357195e-13, 4.999999956244995, 4.5250403115684416e-7, 1.2418720232704794], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
