cell_line,model,pooling_mode,eligible_for_inheritance,bic,ssr,scaled_ssr,n_parameters,n_points,n_densities,n_mixes,parameter_scope,growth_inheritance,initial_condition_strategy,residual_scaling,boundary_issue,params,delta_bic,rank_within_cell_line
A2780Naive+A2780cis,lv_asymmetric_competition_death,partial_5pct,true,-628.6081386168919,1.847696965769249e7,3.420374132742483,5,168,2,3,shared center with symmetric density effects bounded at +/-5%,exact density-specific sensitive/resistant monoculture growth family/r/K; no K rescaling,fixed nominal day-zero total split by mix,component-trajectory peak,true,"(names = [:alpha_sr, :alpha_rs, :death_sensitive, :death_resistant, :log_contrast_density], values = [0.5096417838847659, 1.3522313840194164, 0.22137721014457323, 1.923047556845251e-6, 0.06947977059406192], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")",0.0,1
A2780Naive+A2780cis,lv_asymmetric_competition_death,shared,true,-592.2756647382031,1.9386065138499137e7,4.3776605105998065,4,168,2,3,shared,exact density-specific sensitive/resistant monoculture growth family/r/K; no K rescaling,fixed nominal day-zero total split by mix,component-trajectory peak,true,"(names = [:alpha_sr, :alpha_rs, :death_sensitive, :death_resistant], values = [0.39211766933432135, 1.369679830617308, 0.23269932283039527, 6.987696568970475e-6], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")",36.3324738786888,2
A2780Naive+A2780cis,lv_asymmetric_competition,partial_5pct,true,-487.0510627230585,5.21541714335842e7,8.443113629623847,3,168,2,3,shared center with symmetric density effects bounded at +/-5%,exact density-specific sensitive/resistant monoculture growth family/r/K; no K rescaling,fixed nominal day-zero total split by mix,component-trajectory peak,false,"(names = [:alpha_sr, :alpha_rs, :log_contrast_density], values = [1.5701578885480798, 0.9768574594449181, 0.0888186074647655], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")",141.55707589383337,3
A2780Naive+A2780cis,lv_asymmetric_competition,shared,true,-470.83322297623516,5.435542581422659e7,9.58678607742787,2,168,2,3,shared,exact density-specific sensitive/resistant monoculture growth family/r/K; no K rescaling,fixed nominal day-zero total split by mix,component-trajectory peak,false,"(names = [:alpha_sr, :alpha_rs], values = [1.4705477836319034, 0.9524518366194239], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")",157.77491564065673,4
A2780Naive+A2780cis,lv_symmetric_competition,partial_5pct,true,-438.4551459023744,8.269847361502744e7,11.62446988655599,2,168,2,3,shared center with symmetric density effects bounded at +/-5%,exact density-specific sensitive/resistant monoculture growth family/r/K; no K rescaling,fixed nominal day-zero total split by mix,component-trajectory peak,true,"(names = [:alpha, :log_contrast_density], values = [0.882505346669063, 0.04874216776204078], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")",190.1529927145175,5
