time,count,source_file,component,density,mix,replicate
6.0,891.92,measure_25-75A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,25-75,1
6.0,907.15,measure_25-75A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,25-75,2
6.0,781.72,measure_25-75A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,25-75,3
7.0,1587.94,measure_25-75A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,25-75,1
7.0,1544.41,measure_25-75A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,25-75,2
7.0,1527.39,measure_25-75A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,25-75,3
8.0,1761.06,measure_25-75A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,25-75,1
8.0,1845.26,measure_25-75A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,25-75,2
8.0,1723.35,measure_25-75A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,25-75,3
9.0,1731.52,measure_25-75A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,25-75,1
9.0,1673.5,measure_25-75A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,25-75,2
9.0,1541.73,measure_25-75A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,25-75,3
10.0,2011.8,measure_25-75A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,25-75,1
10.0,2113.71,measure_25-75A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,25-75,2
10.0,2170.44,measure_25-75A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,25-75,3
11.0,2459.81,measure_25-75A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,25-75,1
11.0,2485.92,measure_25-75A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,25-75,2
11.0,2155.62,measure_25-75A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,25-75,3
12.0,2367.25,measure_25-75A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,25-75,1
12.0,2088.23,measure_25-75A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,25-75,2
12.0,2295.19,measure_25-75A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,25-75,3
13.0,2901.56,measure_25-75A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,25-75,1
13.0,2397.47,measure_25-75A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,25-75,2
13.0,2953.02,measure_25-75A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,25-75,3
14.0,2473.2,measure_25-75A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,25-75,1
14.0,2751.21,measure_25-75A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,25-75,2
14.0,2831.09,measure_25-75A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,25-75,3
1.0,27.17,measure_50-50A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,50-50,1
1.0,38.67,measure_50-50A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,50-50,2
1.0,18.66,measure_50-50A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,50-50,3
