cell_line,density,best_model,r,K,bic,ssr
A2780cis,unknown_density,logistic_growth,0.7044596281033407,345.39239944726205,116.83902411003041,40444.8144996778
A2780Naive,unknown_density,logistic_growth,0.9176514671984436,2192.427203719186,156.46722663257862,685757.6836153175
