cell_line,model,pooling_mode,eligible_for_inheritance,bic,ssr,scaled_ssr,n_parameters,n_points,n_densities,n_mixes,parameter_scope,growth_inheritance,initial_condition_strategy,residual_scaling,boundary_issue,params
A2780Naive+A2780cis,lv_asymmetric_competition_death,partial_5pct,true,-684.7362328692607,1.3889242992032653e7,2.448937217111099,5,168,2,3,shared center with symmetric density effects bounded at +/-5%,exact density-specific sensitive/resistant monoculture growth family/r/K; no K rescaling,fixed nominal day-zero total split by mix,component-trajectory peak,true,"(names = [:alpha_sr, :alpha_rs, :death_sensitive, :death_resistant, :log_contrast_density], values = [0.5662624270048602, 1.2207181371267246, 0.2043099365576753, 0.0798896325559348, 0.0487895603036768], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
A2780Naive+A2780cis,lv_asymmetric_competition_death,shared,true,-663.9361763944837,1.4205891211343536e7,2.8575476360151058,4,168,2,3,shared,exact density-specific sensitive/resistant monoculture growth family/r/K; no K rescaling,fixed nominal day-zero total split by mix,component-trajectory peak,false,"(names = [:alpha_sr, :alpha_rs, :death_sensitive, :death_resistant], values = [0.5084282000096467, 1.2234963614240395, 0.21220164397677146, 0.08313226335392826], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
A2780Naive+A2780cis,lv_asymmetric_competition_death,independent_diagnostic,false,-648.6232919374672,1.4921100959064826e7,2.77073538376966,8,168,2,3,independent_diagnostic,exact density-specific sensitive/resistant monoculture growth family/r/K; no K rescaling,fixed nominal day-zero total split by mix,component-trajectory peak,false,"(names = [:alpha_sr_20k, :alpha_rs_20k, :death_sensitive_20k, :death_resistant_20k, :alpha_sr_30k, :alpha_rs_30k, :death_sensitive_30k, :death_resistant_30k], values = [0.24281035776057197, 1.2560088194727868, 0.25568717987147827, 0.07801996937561483, 0.9619841134227736, 1.091394943415295, 0.1278010173238582, 0.09940709490091279], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
A2780Naive+A2780cis,lv_asymmetric_competition,partial_5pct,true,-501.96814931326895,4.920401163814371e7,7.725750513794881,3,168,2,3,shared center with symmetric density effects bounded at +/-5%,exact density-specific sensitive/resistant monoculture growth family/r/K; no K rescaling,fixed nominal day-zero total split by mix,component-trajectory peak,true,"(names = [:alpha_sr, :alpha_rs, :log_contrast_density], values = [1.087754332999838, 1.0103271918974719, 0.04763821141047006], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
A2780Naive+A2780cis,lv_symmetric_competition,partial_5pct,true,-501.149565880016,5.341161191779292e7,8.003918849938094,2,168,2,3,shared center with symmetric density effects bounded at +/-5%,exact density-specific sensitive/resistant monoculture growth family/r/K; no K rescaling,fixed nominal day-zero total split by mix,component-trajectory peak,false,"(names = [:alpha, :log_contrast_density], values = [0.9947024806687653, 0.0444580986559011], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
A2780Naive+A2780cis,lv_symmetric_competition,independent_diagnostic,false,-501.1495658722133,5.3411641418210514e7,8.003918850309834,2,168,2,3,independent_diagnostic,exact density-specific sensitive/resistant monoculture growth family/r/K; no K rescaling,fixed nominal day-zero total split by mix,component-trajectory peak,false,"(names = [:alpha_20k, :alpha_30k], values = [0.9514513597163071, 1.0399208524374757], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
A2780Naive+A2780cis,lv_asymmetric_competition,independent_diagnostic,false,-499.12112754214644,4.86915831772236e7,7.621748036638033,4,168,2,3,independent_diagnostic,exact density-specific sensitive/resistant monoculture growth family/r/K; no K rescaling,fixed nominal day-zero total split by mix,component-trajectory peak,false,"(names = [:alpha_sr_20k, :alpha_rs_20k, :alpha_sr_30k, :alpha_rs_30k], values = [1.1093338898723515, 0.9730770465738738, 1.1007109415354157, 1.0519010364138401], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
A2780Naive+A2780cis,lv_symmetric_competition,shared,true,-492.63650051039264,5.420396562349887e7,8.680716503276408,1,168,2,3,shared,exact density-specific sensitive/resistant monoculture growth family/r/K; no K rescaling,fixed nominal day-zero total split by mix,component-trajectory peak,false,"(names = [:alpha], values = [0.9960478705864594], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
A2780Naive+A2780cis,lv_asymmetric_competition,shared,true,-491.49616569952065,5.037199906912611e7,8.477299919153952,2,168,2,3,shared,exact density-specific sensitive/resistant monoculture growth family/r/K; no K rescaling,fixed nominal day-zero total split by mix,component-trajectory peak,false,"(names = [:alpha_sr, :alpha_rs], values = [1.0782209368191604, 1.0103852187882527], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
