model,density,mix_label,loss,BIC,αSR,αRS
option1_alpha_beta,20k,25-75,41718.7907867995,223.9276810537815,0.9999042595491386,0.17091663323606332
option1_alpha_beta,20k,50-50,16643.201785085344,196.3591866385062,0.9991691973073966,0.5815279207240085
option1_alpha_beta,20k,75-25,12394.626900186426,187.51702360898494,0.999500635365828,0.9996185815530296
option1_alpha_beta,30k,25-75,60637.32133750094,235.14644869784996,0.9999125805701334,9.86410629061441e-5
option1_alpha_beta,30k,50-50,17282.02091979436,197.48913292036232,0.9999980033619047,0.6949429923112086
option1_alpha_beta,30k,75-25,14444.05723518593,192.1076236618808,0.9982072125464188,0.9990211261663622
