time,observed,predicted,fixed_day0_anchor,model,route,density,mix,component
1.0,216.94833333333335,107.49402015519594,false,stage2_direct_context_scaling,treatment_first,20k,75-25,sensitive
2.0,395.03833333333336,325.2240774327219,false,stage2_direct_context_scaling,treatment_first,20k,75-25,sensitive
3.0,575.9033333333333,786.093241699675,false,stage2_direct_context_scaling,treatment_first,20k,75-25,sensitive
4.0,750.965,1157.8170687618767,false,stage2_direct_context_scaling,treatment_first,20k,75-25,sensitive
5.0,1098.7666666666667,1279.6010441810956,false,stage2_direct_context_scaling,treatment_first,20k,75-25,sensitive
6.0,1222.9466666666665,1245.2082015410153,false,stage2_direct_context_scaling,treatment_first,20k,75-25,sensitive
7.0,1636.885,1158.1680049849606,false,stage2_direct_context_scaling,treatment_first,20k,75-25,sensitive
8.0,1417.09,1069.0151593608618,false,stage2_direct_context_scaling,treatment_first,20k,75-25,sensitive
9.0,1830.3733333333337,994.3166773419562,false,stage2_direct_context_scaling,treatment_first,20k,75-25,sensitive
10.0,2137.61,936.4820021274488,false,stage2_direct_context_scaling,treatment_first,20k,75-25,sensitive
11.0,2132.978333333333,893.3326593722251,false,stage2_direct_context_scaling,treatment_first,20k,75-25,sensitive
12.0,1500.195,861.7634591214162,false,stage2_direct_context_scaling,treatment_first,20k,75-25,sensitive
13.0,1762.6516666666669,838.9336755944203,false,stage2_direct_context_scaling,treatment_first,20k,75-25,sensitive
14.0,1454.5266666666666,822.5529709451511,false,stage2_direct_context_scaling,treatment_first,20k,75-25,sensitive
0.0,16.75,16.75,true,stage2_direct_context_scaling,treatment_first,20k,75-25,resistant
1.0,26.93166666666667,19.03304475670985,false,stage2_direct_context_scaling,treatment_first,20k,75-25,resistant
2.0,42.105,27.004316188020184,false,stage2_direct_context_scaling,treatment_first,20k,75-25,resistant
3.0,64.44166666666668,45.775186737229774,false,stage2_direct_context_scaling,treatment_first,20k,75-25,resistant
4.0,128.0016666666667,89.19681161024943,false,stage2_direct_context_scaling,treatment_first,20k,75-25,resistant
5.0,186.15166666666664,192.26641611903415,false,stage2_direct_context_scaling,treatment_first,20k,75-25,resistant
6.0,262.3983333333333,436.49537584577934,false,stage2_direct_context_scaling,treatment_first,20k,75-25,resistant
7.0,430.875,770.56414828271,false,stage2_direct_context_scaling,treatment_first,20k,75-25,resistant
8.0,525.69,835.1124919582094,false,stage2_direct_context_scaling,treatment_first,20k,75-25,resistant
9.0,900.48,1228.4278779789688,false,stage2_direct_context_scaling,treatment_first,20k,75-25,resistant
10.0,1261.5033333333333,1648.534497506827,false,stage2_direct_context_scaling,treatment_first,20k,75-25,resistant
11.0,1896.801666666667,2004.1998076447267,false,stage2_direct_context_scaling,treatment_first,20k,75-25,resistant
12.0,1271.0700000000004,2250.9528164172575,false,stage2_direct_context_scaling,treatment_first,20k,75-25,resistant
13.0,2274.6516666666666,2400.586687250045,false,stage2_direct_context_scaling,treatment_first,20k,75-25,resistant
14.0,1507.9783333333335,2485.634286381184,false,stage2_direct_context_scaling,treatment_first,20k,75-25,resistant
0.0,25.0,25.0,true,stage2_direct_context_scaling,treatment_first,30k,25-75,sensitive
1.0,92.28666666666668,51.66242932302845,false,stage2_direct_context_scaling,treatment_first,30k,25-75,sensitive
2.0,166.93666666666667,157.20460205225226,false,stage2_direct_context_scaling,treatment_first,30k,25-75,sensitive
3.0,254.01833333333335,421.01672894107264,false,stage2_direct_context_scaling,treatment_first,30k,25-75,sensitive
4.0,304.3333333333333,723.0941804694571,false,stage2_direct_context_scaling,treatment_first,30k,25-75,sensitive
5.0,467.26833333333326,920.7899995044609,false,stage2_direct_context_scaling,treatment_first,30k,25-75,sensitive
6.0,478.9883333333334,999.0029035377319,false,stage2_direct_context_scaling,treatment_first,30k,25-75,sensitive
7.0,644.6283333333333,1003.6521743927073,false,stage2_direct_context_scaling,treatment_first,30k,25-75,sensitive
8.0,433.00666666666666,976.4890597320045,false,stage2_direct_context_scaling,treatment_first,30k,25-75,sensitive
9.0,360.13166666666666,940.8767037756957,false,stage2_direct_context_scaling,treatment_first,30k,25-75,sensitive
10.0,420.3900000000001,907.0893104975366,false,stage2_direct_context_scaling,treatment_first,30k,25-75,sensitive
11.0,492.47499999999997,878.6333635887304,false,stage2_direct_context_scaling,treatment_first,30k,25-75,sensitive
12.0,788.84,856.0272299414507,false,stage2_direct_context_scaling,treatment_first,30k,25-75,sensitive
13.0,1077.7166666666667,838.6514332046564,false,stage2_direct_context_scaling,treatment_first,30k,25-75,sensitive
14.0,921.545,825.5679361012014,false,stage2_direct_context_scaling,treatment_first,30k,25-75,sensitive
0.0,75.0,75.0,true,stage2_direct_context_scaling,treatment_first,30k,25-75,resistant
1.0,87.41333333333334,85.02826126631015,false,stage2_direct_context_scaling,treatment_first,30k,25-75,resistant
2.0,146.07000000000002,119.69223910031188,false,stage2_direct_context_scaling,treatment_first,30k,25-75,resistant
3.0,261.51,199.25037262033362,false,stage2_direct_context_scaling,treatment_first,30k,25-75,resistant
4.0,490.7949999999999,373.0069762291519,false,stage2_direct_context_scaling,treatment_first,30k,25-75,resistant
5.0,872.2133333333333,736.5450245612378,false,stage2_direct_context_scaling,treatment_first,30k,25-75,resistant
6.0,1398.1966666666667,1398.7699271542601,false,stage2_direct_context_scaling,treatment_first,30k,25-75,resistant
7.0,2656.3349999999996,1820.5850967270342,false,stage2_direct_context_scaling,treatment_first,30k,25-75,resistant
8.0,2187.6316666666667,1572.5097088661248,false,stage2_direct_context_scaling,treatment_first,30k,25-75,resistant
9.0,3209.313333333333,1862.5010739677462,false,stage2_direct_context_scaling,treatment_first,30k,25-75,resistant
10.0,3193.9033333333336,2091.274829053884,false,stage2_direct_context_scaling,treatment_first,30k,25-75,resistant
11.0,3624.1133333333332,2250.6958942420856,false,stage2_direct_context_scaling,treatment_first,30k,25-75,resistant
12.0,2743.473333333334,2354.243584517514,false,stage2_direct_context_scaling,treatment_first,30k,25-75,resistant
13.0,3918.6783333333333,2419.889083024366,false,stage2_direct_context_scaling,treatment_first,30k,25-75,resistant
14.0,3231.2383333333332,2461.9979292054277,false,stage2_direct_context_scaling,treatment_first,30k,25-75,resistant
0.0,50.0,50.0,true,stage2_direct_context_scaling,treatment_first,30k,50-50,sensitive
1.0,165.45833333333334,98.21221316224778,false,stage2_direct_context_scaling,treatment_first,30k,50-50,sensitive
2.0,282.01500000000004,270.1019172819241,false,stage2_direct_context_scaling,treatment_first,30k,50-50,sensitive
3.0,432.8383333333333,637.5357280130132,false,stage2_direct_context_scaling,treatment_first,30k,50-50,sensitive
4.0,607.8166666666667,972.8206845430011,false,stage2_direct_context_scaling,treatment_first,30k,50-50,sensitive
5.0,879.0050000000001,1129.823838678964,false,stage2_direct_context_scaling,treatment_first,30k,50-50,sensitive
6.0,947.1116666666667,1148.2363146931225,false,stage2_direct_context_scaling,treatment_first,30k,50-50,sensitive
7.0,1412.7849999999999,1103.2597738924962,false,stage2_direct_context_scaling,treatment_first,30k,50-50,sensitive
8.0,1018.185,1041.6088540192893,false,stage2_direct_context_scaling,treatment_first,30k,50-50,sensitive
9.0,1172.4866666666667,983.4779048615495,false,stage2_direct_context_scaling,treatment_first,30k,50-50,sensitive
10.0,1294.5683333333334,935.2157443463708,false,stage2_direct_context_scaling,treatment_first,30k,50-50,sensitive
11.0,1082.5033333333333,897.4173332705756,false,stage2_direct_context_scaling,treatment_first,30k,50-50,sensitive
12.0,1456.9150000000002,868.7105211835753,false,stage2_direct_context_scaling,treatment_first,30k,50-50,sensitive
13.0,1700.3266666666666,847.2967479793509,false,stage2_direct_context_scaling,treatment_first,30k,50-50,sensitive
14.0,1370.07,831.50621988037,false,stage2_direct_context_scaling,treatment_first,30k,50-50,sensitive
0.0,50.0,50.0,true,stage2_direct_context_scaling,treatment_first,30k,50-50,resistant
1.0,53.36166666666666,56.74048463202809,false,stage2_direct_context_scaling,treatment_first,30k,50-50,resistant
2.0,85.83833333333332,80.13916711248572,false,stage2_direct_context_scaling,treatment_first,30k,50-50,resistant
3.0,136.93666666666667,134.42607476633623,false,stage2_direct_context_scaling,treatment_first,30k,50-50,resistant
4.0,278.0416666666667,255.8563593271203,false,stage2_direct_context_scaling,treatment_first,30k,50-50,resistant
5.0,439.5783333333333,523.1779503117662,false,stage2_direct_context_scaling,treatment_first,30k,50-50,resistant
6.0,738.2216666666667,1061.014375721502,false,stage2_direct_context_scaling,treatment_first,30k,50-50,resistant
7.0,1333.6733333333334,1516.2780034417585,false,stage2_direct_context_scaling,treatment_first,30k,50-50,resistant
8.0,1333.7316666666666,1387.4633012843772,false,stage2_direct_context_scaling,treatment_first,30k,50-50,resistant
9.0,2235.375,1721.5352648531302,false,stage2_direct_context_scaling,treatment_first,30k,50-50,resistant
10.0,2239.6666666666665,1999.6658971603579,false,stage2_direct_context_scaling,treatment_first,30k,50-50,resistant
11.0,2711.556666666667,2198.3511063168603,false,stage2_direct_context_scaling,treatment_first,30k,50-50,resistant
12.0,2136.7833333333333,2326.9584235959355,false,stage2_direct_context_scaling,treatment_first,30k,50-50,resistant
13.0,3352.3216666666667,2406.514918270695,false,stage2_direct_context_scaling,treatment_first,30k,50-50,resistant
14.0,2315.278333333333,2455.7031820222205,false,stage2_direct_context_scaling,treatment_first,30k,50-50,resistant
0.0,75.0,75.0,true,stage2_direct_context_scaling,treatment_first,30k,75-25,sensitive
1.0,218.08333333333334,142.30075927821503,false,stage2_direct_context_scaling,treatment_first,30k,75-25,sensitive
2.0,356.52833333333336,366.1998620330078,false,stage2_direct_context_scaling,treatment_first,30k,75-25,sensitive
3.0,545.945,799.2300355415166,false,stage2_direct_context_scaling,treatment_first,30k,75-25,sensitive
4.0,755.7766666666666,1138.169624716355,false,stage2_direct_context_scaling,treatment_first,30k,75-25,sensitive
