cell_line,density,best_model,pooling_mode,r,K,shape_parameter,shape_value,bic,ssr,scaled_ssr,inheritance_allowed,independent_bic_improvement
A2780Naive,20k,logistic_growth,partial_5pct,0.8949392852558102,4091.2936582033817,,NaN,-168.78803545436128,734945.1754025196,0.04192098136016215,true,6.44654579248521
A2780Naive,30k,logistic_growth,partial_5pct,0.849098315055178,3972.9051321875,,NaN,-168.78803545436128,734945.1754025196,0.04192098136016215,true,6.44654579248521
A2780cis,20k,theta_logistic_growth,shared,0.48686422516273026,3802.90282313452,theta,3.0839103255520803,-181.569368706612,1.3836237102720826e6,0.07940296171967463,true,-5.982713378012193
A2780cis,30k,theta_logistic_growth,shared,0.48686422516273026,3802.90282313452,theta,3.0839103255520803,-181.569368706612,1.3836237102720826e6,0.07940296171967463,true,-5.982713378012193
