Day,day_mean_cells,n_wells
1,28.16,3
2,81.7,3
3,213.97,3
4,573.23,3
5,1365.69,3
6,954.7,3
7,1763.55,3
8,2032.53,3
9,2097.99,3
10,2401.56,3
11,2836.11,3
12,2551.1,3
13,2884.48,3
14,2778.18,3
