Day,day_mean_cells,n_wells
1,13.09,3
2,39.3,3
3,123.18,3
4,301.89,3
5,791.3,3
6,726.05,3
7,1318.36,3
8,1513.74,3
9,1434.77,3
10,1640.79,3
11,2289.9,3
12,1768.09,3
13,2427.37,3
14,1996.91,3
