Day,Well,mean_cells,n_tiles,channel_count
1,A6,21.36,6,1
1,B6,11.12,6,1
1,C6,6.79,6,1
2,A6,52.24,6,1
2,B6,37.13,6,1
2,C6,28.53,6,1
3,A6,170.48,6,1
3,B6,98.75,6,1
3,C6,100.31,6,1
4,A6,405.28,6,1
4,B6,267.56,6,1
4,C6,232.84,6,1
5,A6,981.64,6,1
5,B6,756.82,6,1
5,C6,635.45,6,1
6,A6,966.02,6,1
6,B6,617.3,6,1
6,C6,594.83,6,1
7,A6,1702.15,6,1
7,B6,1305.45,6,1
7,C6,947.48,6,1
8,A6,1805.86,6,1
8,B6,1487.49,6,1
8,C6,1247.86,6,1
9,A6,1536.06,6,1
9,B6,1630.14,6,1
9,C6,1138.12,6,1
10,A6,1735.36,6,1
10,B6,1519.54,6,1
10,C6,1667.46,6,1
11,A6,2198.48,6,1
11,B6,2120.83,6,1
11,C6,2550.39,6,1
12,A6,1407.19,6,1
12,B6,2107.14,6,1
12,C6,1789.95,6,1
13,A6,2251.89,6,1
13,B6,2491.56,6,1
13,C6,2538.66,6,1
14,A6,2015.42,6,1
14,B6,1992.16,6,1
14,C6,1983.15,6,1
