Day,day_mean_cells,n_wells
1,30.92,3
2,96.72,3
3,246.37,3
4,733.9,3
5,1349.23,3
6,546.62,3
7,1863.16,3
8,2329.1,3
9,2218.34,3
10,2795.08,2
11,2773.21,3
12,3011.97,3
13,3099.58,3
14,3017.29,3
