Day,Well,mean_cells,n_tiles,channel_count
1,A5,32.16,6,1
1,B5,31.89,6,1
1,C5,20.42,6,1
2,A5,86.0,6,1
2,B5,103.08,6,1
2,C5,56.01,6,1
3,A5,236.83,6,1
3,B5,253.66,6,1
3,C5,151.41,6,1
4,A5,569.72,6,1
4,B5,623.77,6,1
4,C5,526.21,6,1
5,A5,1462.16,6,1
5,B5,1332.02,6,1
5,C5,1302.89,6,1
6,A5,930.35,6,1
6,B5,1070.08,6,1
6,C5,863.66,6,1
7,A5,1775.8,6,1
7,B5,1819.55,6,1
7,C5,1695.3,6,1
8,A5,1983.65,6,1
8,B5,2283.35,6,1
8,C5,1830.59,6,1
9,A5,1915.13,6,1
9,B5,2178.94,6,1
9,C5,2199.91,6,1
10,A5,2404.23,6,1
10,B5,2577.73,6,1
10,C5,2222.73,6,1
11,A5,2742.47,6,1
11,B5,2918.17,6,1
11,C5,2847.69,6,1
12,A5,2384.17,6,1
12,B5,2719.94,6,1
12,C5,2549.2,6,1
13,A5,2931.14,6,1
13,B5,3154.48,6,1
13,C5,2567.82,6,1
14,A5,2773.63,6,1
14,B5,3348.94,6,1
14,C5,2211.97,6,1
