Day,Well,mean_cells,n_tiles,channel_count
1,A4,36.52,6,1
1,B4,23.2,6,1
1,C4,33.03,6,1
2,A4,106.57,6,1
2,B4,94.04,6,1
2,C4,89.55,6,1
3,A4,301.0,6,1
3,B4,225.55,6,1
3,C4,212.55,6,1
4,A4,811.42,6,1
4,B4,654.49,6,1
4,C4,735.78,6,1
5,A4,1551.58,6,1
5,B4,1211.4,6,1
5,C4,1284.72,6,1
6,A4,403.3,6,1
6,B4,929.86,6,1
6,C4,306.7,6,1
7,A4,2101.87,6,1
7,B4,1694.31,6,1
7,C4,1793.3,6,1
8,A4,2555.67,6,1
8,B4,2287.78,6,1
8,C4,2143.86,6,1
9,A4,2378.86,6,1
9,B4,1888.04,6,1
9,C4,2388.11,6,1
10,A4,3142.62,6,1
10,C4,2447.54,6,1
11,A4,2950.11,6,1
11,B4,2549.17,6,1
11,C4,2820.35,6,1
12,A4,3339.04,6,1
12,B4,2739.35,6,1
12,C4,2957.53,6,1
13,A4,3432.62,6,1
13,B4,2849.77,6,1
13,C4,3016.35,6,1
14,A4,3102.19,6,1
14,B4,2982.64,6,1
14,C4,2967.04,6,1
