Day ,N Samples,Mean Cells,SD Cells,SEM Cells
0,3,99.8,0,0
1,3,119.1229163,16.02293104,9.250843548
2,3,208.1099537,19.73859418,11.39608266
3,3,381.1926697,40.31777032,23.27747555
4,3,731.6507717,102.5163134,59.18782115
5,3,1291.676042,200.1666873,115.5662908
6,3,1980.231559,230.8146463,133.2608982
7,3,2670.847839,158.1410804,91.30279537
8,3,2545.009915,94.40396497,54.50415459
9,3,3548.798727,65.47568727,37.80240567
10,3,2897.710455,169.4868759,97.85329344
11,3,3797.833449,210.0123092,121.2506632
12,3,2884.930286,162.5266119,93.83478314
13,3,4146.366088,71.77332958,41.43835115
14,3,3326.884761,187.7303521,108.3861693
