Day ,N Samples,Mean Cells,SD Cells,SEM Cells
0,3,99.8,0,0
1,3,683.0949667,105.4894322,60.90435209
2,3,962.5994,112.2051386,64.78166696
3,3,1293.415333,170.5812742,98.48514458
4,3,1242.376,164.0188735,94.69634074
5,3,1196.672333,67.31580806,38.8647999
6,3,1151.698,105.0399112,60.64482099
7,3,908.6365333,84.68612884,48.89355928
8,3,684.2957667,51.15434458,29.53397461
9,3,451.4713333,37.92999503,21.89889284
10,3,351.6421667,61.01292592,35.22582921
11,3,239.0488667,37.34069004,21.55865745
12,3,153.4825667,30.16576781,17.41621416
13,3,115.1273633,23.97553065,13.84227907
14,3,60.39660667,9.669496205,5.582686237
