stage,condition,fit_scope,model,bic,sse,params,inherited
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - A2780 20k 1-1,Run 1,logistic_with_lag,207.64401402661113,8.969804413861511e6,0.64484;3638.0;1.467e-5,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - A2780 20k 1-1,Run 1,transit_compartment_delayed_kill,213.06010337124016,8.969797801578056e6,0.69644;3929.2;0.051609;0.22417;0.22697,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - A2780cis 20k 1-1,Run 1,logistic_with_delayed_death,91.48396486017523,3244.8826705418974,2.641;321.83;2.4637;3.7799,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - A2780cis 20k 1-1,Run 1,logistic_with_smooth_delayed_death,96.76454050359102,3851.955296731849,3.1936;309.13;3.0;3.9481;0.31799,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - A2780cis 20k 1-1,Run 1,logistic,144.18299646537315,156244.380993976,4.0;103.46,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - A2780cis 20k 1-1,Run 1,logistic_plus_loss,146.8910466664792,156244.3809940161,4.0;103.46;4.7428e-11,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - A2780cis 20k 1-1,Run 1,logistic_with_lag,146.8910472162737,156244.3867208365,4.0;103.46;2.3204e-9,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - A2780cis 20k 1-1,Run 1,transit_compartment_delayed_kill,152.3071469040353,156244.3792789911,4.0;103.46;2.8073e-13;0.0001;3.2851,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - A2780 30k 1-1,Run 1,logistic_with_delayed_death,198.28835455525717,4.0133108934390866e6,1.313;62897.0;1.1575;2.2725,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - A2780 30k 1-1,Run 1,logistic_with_smooth_delayed_death,200.92692225585128,3.994763558696892e6,2.2224;68214.0;2.0352;1.2217;0.050026,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - A2780 30k 1-1,Run 1,logistic,201.48259840787128,7.125212214357496e6,0.59039;3260.5,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - A2780 30k 1-1,Run 1,logistic_plus_loss,204.19064860897294,7.125212214357239e6,0.59963;3311.5;0.009238,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - A2780 30k 1-1,Run 1,logistic_with_lag,204.19066154768214,7.125218360429818e6,0.59039;3260.5;1.5041e-5,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - A2780 30k 1-1,Run 1,transit_compartment_delayed_kill,209.6067491963198,7.125212302302522e6,0.6513;3596.9;0.060916;0.14477;0.39204,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - A2780cis 30k 1-1,Run 1,logistic_with_smooth_delayed_death,59.02157692852638,311.1075262428654,2.3935;244.1;2.2815;3.6054;0.28195,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - A2780cis 30k 1-1,Run 1,logistic_with_delayed_death,59.802397370996474,392.57593057542186,2.4255;239.29;2.2872;3.6918,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - A2780cis 30k 1-1,Run 1,logistic,137.4958328313611,100044.03283251614,1.0e-6;0.0037217,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - A2780cis 30k 1-1,Run 1,logistic_plus_loss,138.5964927867379,89877.80878511955,4.0;77.574;3.3679e-13,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - A2780cis 30k 1-1,Run 1,logistic_with_lag,139.2264738154053,93732.95199487598,0.16663;10.246;6.8818,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - A2780cis 30k 1-1,Run 1,transit_compartment_delayed_kill,144.01259365128246,89877.81155539425,4.0;77.574;2.8073e-13;5.0;0.088087,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - A2780 20k 3-1,Run 1,logistic,136.48025457341203,689767.6558910853,0.86887;2831.4,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - A2780 20k 3-1,Run 1,logistic_plus_loss,138.96516122319736,689767.6558909322,0.87382;2847.5;0.0049551,none; direct low-resource fit
