time,observed,pred_null_coculture,pred_lotka_volterra_competition,pred_lotka_volterra_hill_competition
5.0,1320.35,NaN,NaN,NaN
5.0,883.62,NaN,NaN,NaN
5.0,1462.16,NaN,NaN,NaN
5.0,1332.02,NaN,NaN,NaN
5.0,1302.89,NaN,NaN,NaN
5.0,317.23,NaN,NaN,NaN
5.0,376.58,NaN,NaN,NaN
5.0,255.41,NaN,NaN,NaN
5.0,465.17,NaN,NaN,NaN
5.0,390.12,NaN,NaN,NaN
5.0,350.39,NaN,NaN,NaN
5.0,1242.12,NaN,NaN,NaN
5.0,1164.65,NaN,NaN,NaN
5.0,1200.53,NaN,NaN,NaN
5.0,1551.58,NaN,NaN,NaN
5.0,1211.4,NaN,NaN,NaN
5.0,1284.72,NaN,NaN,NaN
5.0,130.51,NaN,NaN,NaN
5.0,135.58,NaN,NaN,NaN
5.0,139.18,NaN,NaN,NaN
5.0,210.92,NaN,NaN,NaN
5.0,233.53,NaN,NaN,NaN
5.0,194.14,NaN,NaN,NaN
6.0,891.92,NaN,NaN,NaN
6.0,907.15,NaN,NaN,NaN
6.0,781.72,NaN,NaN,NaN
6.0,966.02,NaN,NaN,NaN
6.0,617.3,NaN,NaN,NaN
6.0,594.83,NaN,NaN,NaN
6.0,756.44,NaN,NaN,NaN
6.0,581.21,NaN,NaN,NaN
6.0,491.44,NaN,NaN,NaN
6.0,1206.52,NaN,NaN,NaN
6.0,1077.83,NaN,NaN,NaN
6.0,973.97,NaN,NaN,NaN
6.0,1039.97,NaN,NaN,NaN
6.0,920.94,NaN,NaN,NaN
6.0,881.12,NaN,NaN,NaN
6.0,930.35,NaN,NaN,NaN
6.0,1070.08,NaN,NaN,NaN
6.0,863.66,NaN,NaN,NaN
6.0,450.25,NaN,NaN,NaN
6.0,343.55,NaN,NaN,NaN
6.0,344.67,NaN,NaN,NaN
6.0,401.15,NaN,NaN,NaN
6.0,330.68,NaN,NaN,NaN
6.0,313.37,NaN,NaN,NaN
6.0,944.75,NaN,NaN,NaN
6.0,276.46,NaN,NaN,NaN
6.0,1024.56,NaN,NaN,NaN
6.0,403.3,NaN,NaN,NaN
6.0,929.86,NaN,NaN,NaN
6.0,306.7,NaN,NaN,NaN
