File,Density,CellLine,Model,SSR,BIC,r,K,v,d
A2780Naive_day_averages.csv,20k,A2780Naive,theta_logistic,165076.97614980422,139.168709701244,1.136659105079907,4077.2401348888607,0.6241148530234016,NaN
A2780Naive_day_averages.csv,20k,A2780Naive,logistic,218173.6463344867,140.43396398987034,0.9293739515097028,4014.8064102189865,NaN,NaN
A2780Naive_day_averages.csv,20k,A2780Naive,gompertz,449578.5126352744,150.55623302395176,0.40699631690101684,4287.943080352402,NaN,NaN
A2780Naive_day_averages.csv,20k,A2780Naive,logistic_death,218173.65343936192,143.07302177539884,1.6674016920348056,7203.015155674323,NaN,0.7380277348227153
A2780cis_day_averages.csv,20k,A2780cis,theta_logistic,523607.7642460308,155.32934335510456,0.49442941954492176,3744.539981420408,3.951019168198283,NaN
A2780cis_day_averages.csv,20k,A2780cis,logistic,1.0911642740799007e6,162.96989360170022,0.6089894178529371,3994.203146461291,NaN,NaN
A2780cis_day_averages.csv,20k,A2780cis,gompertz,2.6828172700628303e6,175.5646043318231,0.23854379570614798,4854.476801276991,NaN,NaN
A2780cis_day_averages.csv,20k,A2780cis,logistic_death,1.091164338699507e6,165.60895176040648,1.4134361688169363,9270.356581429174,NaN,0.80444673424533
A2780Naive_day_averages.csv,30k,A2780Naive,theta_logistic,304802.0147242821,147.75421735288035,1.054519124611772,4035.569668731691,0.5748389959026419,NaN
A2780Naive_day_averages.csv,30k,A2780Naive,logistic,365676.1507646814,147.6643594585648,0.8168869289612506,3949.128580681457,NaN,NaN
A2780Naive_day_averages.csv,30k,A2780Naive,gompertz,507908.53744170157,152.264105367841,0.36892734666658866,4264.450122779598,NaN,NaN
A2780Naive_day_averages.csv,30k,A2780Naive,logistic_death,365676.22992600553,150.30341981889023,1.3864970688968943,6702.849833700408,NaN,0.5696115262664808
A2780cis_day_averages.csv,30k,A2780cis,theta_logistic,506274.7271709927,154.85805573429684,0.4652501880003192,3840.3063420254557,3.287494862565161,NaN
A2780cis_day_averages.csv,30k,A2780cis,logistic,1.0055157230363246e6,161.82546779609012,0.5795513600207528,4078.7614421386775,NaN,NaN
A2780cis_day_averages.csv,30k,A2780cis,gompertz,2.407993949876097e6,174.0515760651856,0.23809225138778534,4889.61217546495,NaN,NaN
A2780cis_day_averages.csv,30k,A2780cis,logistic_death,1.005515756600072e6,164.46452559302028,1.3536580837905108,9526.760044616834,NaN,0.7741066849150013
