density,mix,model,rS,rR,K,vS,vR,dS,dR,sse,aic,bic,converged
20k,25-75,LV_competition_theta,0.6208127244859619,0.8269763675742192,4270.79321784512,0.7495646822696471,1.3572511416101434,6.455351257718085e-7,0.17871240704315422,719172.8314673803,316.5397881115217,326.3481697831568,Success
20k,50-50,LV_competition_theta,1.1037028783761444,1.1748491541183188,4543.148960346596,0.38770192356623145,2.953548318760891,0.05430454356547566,0.750434328001407,466330.4995990787,303.54357520012263,313.3519568717577,Success
20k,75-25,LV_competition_theta,1.3083592636914836,0.5306116587195527,3115.7054222175225,0.38434318818232066,5.999999999999999,2.3397274325135817e-6,0.29832088812895213,521133.68384499004,306.87693491098526,316.6853165826203,Success
30k,25-75,LV_competition_theta,0.5814467516986452,1.1024233324906685,5708.294668937655,1.4693383351824918,1.494405271936513,0.14264646292701644,0.41993613960018444,2.545781003366136e6,354.46251970333594,364.270901374971,Success
30k,50-50,LV_competition_theta,0.8102639271577795,0.6420926924374536,3639.925294772643,0.6100594768881512,3.3938404406548126,1.670681887844925e-7,0.27585290161568843,625294.4005629369,312.3434143115643,322.15179598319935,Success
30k,75-25,LV_competition_theta,1.4324867390344143,0.5095124373049542,3665.3674900051196,0.2970783465211791,5.999999999999999,3.584179300002164e-15,0.31570055780954226,1.0220544288926846e6,327.08383771697186,336.8922193886069,Success
