workbook,sheet,series,day,value
ALL A2780-cis LR data.xlsx,1 - A2780cis 20k 1-3,N Samples,0.0,3.0
ALL A2780-cis LR data.xlsx,1 - A2780cis 20k 1-3,Mean Cells,0.0,49.935
ALL A2780-cis LR data.xlsx,1 - A2780cis 20k 1-3,SD Cells,0.0,0.0
ALL A2780-cis LR data.xlsx,1 - A2780cis 20k 1-3,SEM Cells,0.0,0.0
ALL A2780-cis LR data.xlsx,1 - A2780cis 20k 1-3,N Samples,1.0,3.0
ALL A2780-cis LR data.xlsx,1 - A2780cis 20k 1-3,Mean Cells,1.0,387.9096090891585
ALL A2780-cis LR data.xlsx,1 - A2780cis 20k 1-3,SD Cells,1.0,133.38577747615074
ALL A2780-cis LR data.xlsx,1 - A2780cis 20k 1-3,SEM Cells,1.0,77.01031453192316
ALL A2780-cis LR data.xlsx,1 - A2780cis 20k 1-3,N Samples,2.0,3.0
ALL A2780-cis LR data.xlsx,1 - A2780cis 20k 1-3,Mean Cells,2.0,439.1986997881763
ALL A2780-cis LR data.xlsx,1 - A2780cis 20k 1-3,SD Cells,2.0,96.11641607125894
ALL A2780-cis LR data.xlsx,1 - A2780cis 20k 1-3,SEM Cells,2.0,55.49283869228342
ALL A2780-cis LR data.xlsx,1 - A2780cis 20k 1-3,N Samples,3.0,3.0
ALL A2780-cis LR data.xlsx,1 - A2780cis 20k 1-3,Mean Cells,3.0,521.188357404198
ALL A2780-cis LR data.xlsx,1 - A2780cis 20k 1-3,SD Cells,3.0,194.15853560484808
ALL A2780-cis LR data.xlsx,1 - A2780cis 20k 1-3,SEM Cells,3.0,112.09748279692259
ALL A2780-cis LR data.xlsx,1 - A2780cis 20k 1-3,N Samples,4.0,3.0
ALL A2780-cis LR data.xlsx,1 - A2780cis 20k 1-3,Mean Cells,4.0,362.1803104178702
ALL A2780-cis LR data.xlsx,1 - A2780cis 20k 1-3,SD Cells,4.0,65.42472300747538
ALL A2780-cis LR data.xlsx,1 - A2780cis 20k 1-3,SEM Cells,4.0,37.77298144002261
ALL A2780-cis LR data.xlsx,1 - A2780cis 20k 1-3,N Samples,5.0,3.0
ALL A2780-cis LR data.xlsx,1 - A2780cis 20k 1-3,Mean Cells,5.0,143.1933125361063
ALL A2780-cis LR data.xlsx,1 - A2780cis 20k 1-3,SD Cells,5.0,41.63594254315968
ALL A2780-cis LR data.xlsx,1 - A2780cis 20k 1-3,SEM Cells,5.0,24.038522635257035
ALL A2780-cis LR data.xlsx,1 - A2780cis 20k 1-3,N Samples,6.0,3.0
ALL A2780-cis LR data.xlsx,1 - A2780cis 20k 1-3,Mean Cells,6.0,93.33016753321779
ALL A2780-cis LR data.xlsx,1 - A2780cis 20k 1-3,SD Cells,6.0,27.85483212562544
ALL A2780-cis LR data.xlsx,1 - A2780cis 20k 1-3,SEM Cells,6.0,16.081994825961683
ALL A2780-cis LR data.xlsx,1 - A2780cis 20k 1-3,N Samples,7.0,3.0
ALL A2780-cis LR data.xlsx,1 - A2780cis 20k 1-3,Mean Cells,7.0,64.2644914307722
ALL A2780-cis LR data.xlsx,1 - A2780cis 20k 1-3,SD Cells,7.0,25.286609680148075
ALL A2780-cis LR data.xlsx,1 - A2780cis 20k 1-3,SEM Cells,7.0,14.599230905726488
ALL A2780-cis LR data.xlsx,1 - A2780cis 20k 1-3,N Samples,8.0,3.0
ALL A2780-cis LR data.xlsx,1 - A2780cis 20k 1-3,Mean Cells,8.0,45.77005969574427
ALL A2780-cis LR data.xlsx,1 - A2780cis 20k 1-3,SD Cells,8.0,12.878873173790517
ALL A2780-cis LR data.xlsx,1 - A2780cis 20k 1-3,SEM Cells,8.0,7.435620893747005
ALL A2780-cis LR data.xlsx,1 - A2780cis 20k 1-3,N Samples,9.0,3.0
