Day,Well,Average_Cells_um2,Tile_Count
1,D4,91.48587962962962,6
1,D5,109.97094907407408,6
1,D6,122.225,6
2,D4,151.92106481481483,6
2,D5,178.69884259259257,6
2,D6,184.7232638888889,6
3,D4,289.90243055555555,6
3,D5,332.7871527777777,6
3,D6,382.5798611111112,6
4,D4,621.3168981481482,6
4,D5,619.7679398148148,6
4,D6,755.0721064814815,6
5,D4,1163.0269675925929,6
5,D5,1237.4136574074075,6
5,D6,1404.424421296296,6
6,D4,1678.2105324074073,6
6,D5,1696.859837962963,6
6,D6,1817.8834490740744,6
7,D4,2185.8089120370373,6
7,D5,2478.8392361111114,6
7,D6,2713.581134259259,6
8,D4,2890.9685185185185,6
8,D5,2881.4863425925923,6
8,D6,2949.144791666667,6
9,D4,2443.0906250000003,6
9,D5,2423.260763888889,6
9,D6,1971.354398148148,6
10,D4,3462.770717592593,6
10,D5,3659.636342592592,6
10,D6,3650.341550925926,6
11,D4,2611.5547453703703,6
11,D5,3196.982523148148,6
11,D6,2398.633449074074,6
12,D4,3965.411111111111,6
12,D5,4144.754166666667,6
12,D6,3913.6537037037033,6
13,D4,3526.940740740741,6
13,D5,3067.356365740741,6
13,D6,3191.1837962962964,6
14,D4,3621.894791666666,6
14,D5,3700.865162037037,6
14,D6,3938.989930555556,6
